corpus,stratum,cluster_id,row_id,tool_calls,path_resolved_calls,mutation_calls,explore_calls,validation_attempts,recognized_successful_validations,has_mutation,prior_explore_calls,prior_path_explore_calls,any_prior_explore,eligible_transitions,same_path,same_module,cross_module,same_path_share,same_module_share,cross_module_share,observed_module_returns,return_gap_median_calls,return_gap_p90_calls,unique_target_paths,top_target_share,target_hhi,mutated_paths,mutated_path_read_before_share,mutated_path_mutated_again_share,resolved
ideatrail,default/train,learned-surrogates-physics-simulation,b4_059_2509_07209,78,38,5,73,0,0,True,50,14,True,37,8,22,7,0.21621621621621623,0.5945945945945946,0.1891891891891892,6,1.0,8.5,20,0.15789473684210525,0.07894736842105263,4,0.0,0.25,A
ideatrail,default/train,learned-world-models-embodied-control,b2_051_2510_18135,124,70,8,116,0,0,True,79,34,True,69,13,47,9,0.18840579710144928,0.6811594202898551,0.13043478260869565,8,1.5,9.899999999999999,39,0.14285714285714285,0.05755102040816326,4,0.0,1.0,None
ideatrail,default/train,learning-from-imperfect-supervision,116_top1_l1_009_04_02,100,70,10,90,0,0,True,65,35,True,69,33,35,1,0.4782608695652174,0.5072463768115942,0.014492753623188406,0,,,26,0.24285714285714285,0.10938775510204081,3,0.0,0.6666666666666666,A
ideatrail,default/train,llm-harmful-content-prevention,b3_280_2512_09742,64,53,10,54,0,0,True,23,13,True,52,16,21,15,0.3076923076923077,0.40384615384615385,0.28846153846153844,14,1.5,3.700000000000001,27,0.22641509433962265,0.10288358846564613,3,0.0,1.0,
ideatrail,default/train,llm-structured-action-execution-reliability,b4_346_2510_05318,114,70,10,104,0,0,True,66,32,True,69,20,40,9,0.2898550724637681,0.5797101449275363,0.13043478260869565,8,1.0,3.0,44,0.18571428571428572,0.06775510204081633,5,0.0,0.6,A
ideatrail,default/train,long-form-video-summarization,b4_429_2510_11204,75,41,7,68,0,0,True,27,9,True,40,6,25,9,0.15,0.625,0.225,8,1.5,5.399999999999999,29,0.21951219512195122,0.07436049970255801,4,0.0,0.25,A
ideatrail,default/train,medical-image-explainability-methods,b4_738_2511_22018,126,70,14,112,0,0,True,60,20,True,69,23,33,13,0.3333333333333333,0.4782608695652174,0.18840579710144928,12,2.0,6.0,35,0.21428571428571427,0.07755102040816327,5,0.0,0.8,A
ideatrail,default/train,multi-agent-ai-security-threats,b3_034_2509_07553,125,99,19,106,0,0,True,67,45,True,98,27,62,9,0.2755102040816326,0.6326530612244898,0.09183673469387756,8,2.0,6.399999999999999,52,0.20202020202020202,0.06478930721354964,6,0.0,0.5,
ideatrail,default/train,multi-agent-coordination-evaluation-governance,b4_966_2601_14652,189,138,16,173,0,0,True,77,41,True,137,23,95,19,0.1678832116788321,0.6934306569343066,0.1386861313868613,18,2.5,10.600000000000001,71,0.10869565217391304,0.032976265490443184,5,0.0,0.8,A
ideatrail,default/train,multi-armed-bandit-regret-bounds,b4_908_2601_01069,88,54,9,79,0,0,True,40,15,True,53,6,26,21,0.11320754716981132,0.49056603773584906,0.39622641509433965,20,1.0,3.200000000000003,30,0.16666666666666666,0.06652949245541838,4,0.0,0.5,B
