project,previous_operation,next_operation,dependency_class,adjacent_edges,share_all_adjacent_edges
ActPlane,validate,control,unknown_semantic_dependency,30,0.000483
ActPlane,validate,delegate,unknown_semantic_dependency,19,0.000306
ActPlane,validate,mutate,no_dynamic_result_dependency_concurrent,4,0.000064
ActPlane,validate,mutate,unknown_semantic_dependency,194,0.003123
ActPlane,validate,navigate,no_dynamic_result_dependency_concurrent,6,0.000097
ActPlane,validate,navigate,unknown_semantic_dependency,13,0.000209
ActPlane,validate,other,unknown_semantic_dependency,8,0.000129
ActPlane,validate,read,no_dynamic_result_dependency_concurrent,11,0.000177
ActPlane,validate,read,unknown_semantic_dependency,165,0.002656
ActPlane,validate,search,no_dynamic_result_dependency_concurrent,19,0.000306
ActPlane,validate,search,unknown_semantic_dependency,135,0.002173
ActPlane,validate,shell,no_dynamic_result_dependency_concurrent,111,0.001787
ActPlane,validate,shell,unknown_semantic_dependency,358,0.005762
ActPlane,validate,validate,no_dynamic_result_dependency_concurrent,271,0.004362
ActPlane,validate,validate,strong_retry_feedback_dependency,26,0.000418
ActPlane,validate,validate,unknown_semantic_dependency,342,0.005505
ActPlane,validate,vcs,no_dynamic_result_dependency_concurrent,58,0.000934
ActPlane,validate,vcs,unknown_semantic_dependency,94,0.001513
ActPlane,validate,wait,no_dynamic_result_dependency_concurrent,1,0.000016
ActPlane,validate,wait,unknown_semantic_dependency,133,0.002141
ActPlane,vcs,control,unknown_semantic_dependency,86,0.001384
ActPlane,vcs,delegate,no_dynamic_result_dependency_concurrent,1,0.000016
ActPlane,vcs,delegate,unknown_semantic_dependency,17,0.000274
ActPlane,vcs,mutate,no_dynamic_result_dependency_concurrent,4,0.000064
ActPlane,vcs,mutate,unknown_semantic_dependency,282,0.004539
ActPlane,vcs,navigate,no_dynamic_result_dependency_concurrent,75,0.001207
ActPlane,vcs,navigate,unknown_semantic_dependency,19,0.000306
ActPlane,vcs,read,no_dynamic_result_dependency_concurrent,174,0.002801
ActPlane,vcs,read,unknown_semantic_dependency,212,0.003412
ActPlane,vcs,search,no_dynamic_result_dependency_concurrent,211,0.003396
ActPlane,vcs,search,unknown_semantic_dependency,181,0.002913
ActPlane,vcs,shell,no_dynamic_result_dependency_concurrent,144,0.002318
ActPlane,vcs,shell,unknown_semantic_dependency,195,0.003139
ActPlane,vcs,validate,no_dynamic_result_dependency_concurrent,46,0.000740
ActPlane,vcs,validate,unknown_semantic_dependency,70,0.001127
ActPlane,vcs,vcs,no_dynamic_result_dependency_concurrent,915,0.014727
ActPlane,vcs,vcs,strong_retry_feedback_dependency,15,0.000241
ActPlane,vcs,vcs,unknown_semantic_dependency,410,0.006599
ActPlane,vcs,wait,no_dynamic_result_dependency_concurrent,1,0.000016
ActPlane,vcs,wait,unknown_semantic_dependency,41,0.000660
ActPlane,wait,control,unknown_semantic_dependency,75,0.001207
ActPlane,wait,delegate,unknown_semantic_dependency,39,0.000628
ActPlane,wait,mutate,no_dynamic_result_dependency_concurrent,1,0.000016
ActPlane,wait,mutate,unknown_semantic_dependency,241,0.003879
ActPlane,wait,navigate,no_dynamic_result_dependency_concurrent,4,0.000064
ActPlane,wait,navigate,unknown_semantic_dependency,23,0.000370
ActPlane,wait,read,no_dynamic_result_dependency_concurrent,360,0.005794
ActPlane,wait,read,unknown_semantic_dependency,1370,0.022051
ActPlane,wait,search,no_dynamic_result_dependency_concurrent,33,0.000531
ActPlane,wait,search,unknown_semantic_dependency,369,0.005939
ActPlane,wait,shell,no_dynamic_result_dependency_concurrent,89,0.001433
ActPlane,wait,shell,unknown_semantic_dependency,1557,0.025061
ActPlane,wait,validate,unknown_semantic_dependency,61,0.000982
ActPlane,wait,vcs,unknown_semantic_dependency,81,0.001304
ActPlane,wait,wait,no_dynamic_result_dependency_concurrent,89,0.001433
ActPlane,wait,wait,strong_control_dependency,3826,0.061582
ActPlane,web,control,no_dynamic_result_dependency_concurrent,1,0.000016
ActPlane,web,control,unknown_semantic_dependency,100,0.001610
ActPlane,web,navigate,unknown_semantic_dependency,3,0.000048
ActPlane,web,read,no_dynamic_result_dependency_concurrent,2,0.000032
ActPlane,web,read,unknown_semantic_dependency,16,0.000258
ActPlane,web,search,unknown_semantic_dependency,3,0.000048
ActPlane,web,shell,no_dynamic_result_dependency_concurrent,1,0.000016
ActPlane,web,shell,unknown_semantic_dependency,7,0.000113
ActPlane,web,web,no_dynamic_result_dependency_concurrent,939,0.015114
ActPlane,web,web,strong_retry_feedback_dependency,18,0.000290
ActPlane,web,web,unknown_semantic_dependency,757,0.012184
academic-writing-skills,control,read,unknown_semantic_dependency,1,0.001230
academic-writing-skills,control,web,unknown_semantic_dependency,3,0.003690
academic-writing-skills,delegate,delegate,no_dynamic_result_dependency_concurrent,3,0.003690
academic-writing-skills,delegate,delegate,unknown_semantic_dependency,2,0.002460
academic-writing-skills,mutate,control,unknown_semantic_dependency,1,0.001230
academic-writing-skills,mutate,mutate,no_dynamic_result_dependency_concurrent,25,0.030750
academic-writing-skills,mutate,mutate,strong_retry_feedback_dependency,3,0.003690
academic-writing-skills,mutate,mutate,strong_same_artifact_state_dependency,189,0.232472
academic-writing-skills,mutate,mutate,unknown_semantic_dependency,110,0.135301
academic-writing-skills,mutate,read,no_dynamic_result_dependency_concurrent,1,0.001230
academic-writing-skills,mutate,read,strong_same_artifact_state_dependency,5,0.006150
academic-writing-skills,mutate,read,unknown_semantic_dependency,10,0.012300
academic-writing-skills,mutate,search,strong_same_artifact_state_dependency,5,0.006150
academic-writing-skills,mutate,search,unknown_semantic_dependency,14,0.017220
academic-writing-skills,mutate,shell,strong_same_artifact_state_dependency,1,0.001230
academic-writing-skills,mutate,shell,unknown_semantic_dependency,2,0.002460
academic-writing-skills,mutate,vcs,strong_same_artifact_state_dependency,2,0.002460
academic-writing-skills,mutate,vcs,unknown_semantic_dependency,5,0.006150
academic-writing-skills,navigate,mutate,strong_result_path_dependency,1,0.001230
academic-writing-skills,navigate,navigate,no_dynamic_result_dependency_concurrent,1,0.001230
academic-writing-skills,navigate,navigate,strong_retry_feedback_dependency,1,0.001230
academic-writing-skills,navigate,navigate,unknown_semantic_dependency,7,0.008610
academic-writing-skills,navigate,read,strong_result_path_dependency,2,0.002460
academic-writing-skills,navigate,read,unknown_semantic_dependency,11,0.013530
academic-writing-skills,navigate,search,unknown_semantic_dependency,2,0.002460
academic-writing-skills,navigate,shell,unknown_semantic_dependency,1,0.001230
academic-writing-skills,navigate,vcs,unknown_semantic_dependency,1,0.001230
academic-writing-skills,other,other,unknown_semantic_dependency,2,0.002460
academic-writing-skills,read,delegate,strong_result_path_dependency,1,0.001230
academic-writing-skills,read,delegate,unknown_semantic_dependency,2,0.002460
academic-writing-skills,read,mutate,same_exact_artifact_read_edit_proxy,17,0.020910
academic-writing-skills,read,mutate,unknown_semantic_dependency,13,0.015990
academic-writing-skills,read,navigate,strong_result_path_dependency,1,0.001230
academic-writing-skills,read,navigate,unknown_semantic_dependency,11,0.013530
academic-writing-skills,read,read,already_batched_disjoint_local_reads,107,0.131611
academic-writing-skills,read,read,likely_independent_sequential_local_reads,34,0.041820
academic-writing-skills,read,read,no_dynamic_result_dependency_concurrent,3,0.003690
academic-writing-skills,read,read,strong_result_path_dependency,16,0.019680
academic-writing-skills,read,read,strong_retry_feedback_dependency,7,0.008610
academic-writing-skills,read,read,unknown_semantic_dependency,17,0.020910
academic-writing-skills,read,search,strong_result_path_dependency,1,0.001230
academic-writing-skills,read,search,unknown_semantic_dependency,16,0.019680
academic-writing-skills,read,shell,strong_result_path_dependency,1,0.001230
academic-writing-skills,read,shell,unknown_semantic_dependency,2,0.002460
academic-writing-skills,read,vcs,strong_result_path_dependency,1,0.001230
academic-writing-skills,read,vcs,unknown_semantic_dependency,6,0.007380
academic-writing-skills,read,web,unknown_semantic_dependency,1,0.001230
academic-writing-skills,search,control,unknown_semantic_dependency,1,0.001230
academic-writing-skills,search,mutate,strong_result_path_dependency,6,0.007380
academic-writing-skills,search,mutate,unknown_semantic_dependency,4,0.004920
academic-writing-skills,search,navigate,unknown_semantic_dependency,2,0.002460
academic-writing-skills,search,read,strong_result_path_dependency,3,0.003690
academic-writing-skills,search,read,unknown_semantic_dependency,11,0.013530
academic-writing-skills,search,search,strong_result_path_dependency,5,0.006150
academic-writing-skills,search,search,strong_retry_feedback_dependency,2,0.002460
academic-writing-skills,search,search,unknown_semantic_dependency,22,0.027060
academic-writing-skills,search,shell,strong_result_path_dependency,1,0.001230
academic-writing-skills,search,shell,unknown_semantic_dependency,3,0.003690
academic-writing-skills,search,vcs,strong_result_path_dependency,1,0.001230
academic-writing-skills,search,vcs,unknown_semantic_dependency,4,0.004920
academic-writing-skills,shell,mutate,unknown_semantic_dependency,1,0.001230
academic-writing-skills,shell,navigate,unknown_semantic_dependency,1,0.001230
academic-writing-skills,shell,read,unknown_semantic_dependency,6,0.007380
academic-writing-skills,shell,search,unknown_semantic_dependency,2,0.002460
academic-writing-skills,shell,shell,strong_retry_feedback_dependency,11,0.013530
academic-writing-skills,shell,shell,unknown_semantic_dependency,5,0.006150
academic-writing-skills,shell,vcs,unknown_semantic_dependency,3,0.003690
academic-writing-skills,vcs,mutate,unknown_semantic_dependency,6,0.007380
academic-writing-skills,vcs,navigate,unknown_semantic_dependency,1,0.001230
academic-writing-skills,vcs,read,unknown_semantic_dependency,9,0.011070
academic-writing-skills,vcs,search,unknown_semantic_dependency,10,0.012300
academic-writing-skills,vcs,shell,unknown_semantic_dependency,2,0.002460
academic-writing-skills,vcs,vcs,unknown_semantic_dependency,17,0.020910
academic-writing-skills,web,control,unknown_semantic_dependency,1,0.001230
academic-writing-skills,web,mutate,unknown_semantic_dependency,2,0.002460
academic-writing-skills,web,web,no_dynamic_result_dependency_concurrent,3,0.003690
agentsight,control,control,no_dynamic_result_dependency_concurrent,5,0.000053
agentsight,control,control,unknown_semantic_dependency,107,0.001139
agentsight,control,delegate,unknown_semantic_dependency,30,0.000319
agentsight,control,mutate,unknown_semantic_dependency,103,0.001097
agentsight,control,navigate,unknown_semantic_dependency,20,0.000213
agentsight,control,read,unknown_semantic_dependency,278,0.002961
agentsight,control,search,unknown_semantic_dependency,68,0.000724
agentsight,control,shell,unknown_semantic_dependency,88,0.000937
agentsight,control,validate,unknown_semantic_dependency,16,0.000170
agentsight,control,vcs,no_dynamic_result_dependency_concurrent,3,0.000032
agentsight,control,vcs,unknown_semantic_dependency,99,0.001054
agentsight,control,wait,unknown_semantic_dependency,4,0.000043
agentsight,control,web,unknown_semantic_dependency,28,0.000298
agentsight,delegate,control,unknown_semantic_dependency,33,0.000351
agentsight,delegate,delegate,no_dynamic_result_dependency_concurrent,67,0.000714
agentsight,delegate,delegate,unknown_semantic_dependency,428,0.004558
agentsight,delegate,mutate,unknown_semantic_dependency,149,0.001587
agentsight,delegate,navigate,unknown_semantic_dependency,32,0.000341
agentsight,delegate,other,unknown_semantic_dependency,1,0.000011
agentsight,delegate,read,no_dynamic_result_dependency_concurrent,4,0.000043
agentsight,delegate,read,unknown_semantic_dependency,365,0.003887
agentsight,delegate,search,unknown_semantic_dependency,309,0.003291
agentsight,delegate,shell,no_dynamic_result_dependency_concurrent,3,0.000032
agentsight,delegate,shell,unknown_semantic_dependency,268,0.002854
agentsight,delegate,validate,unknown_semantic_dependency,31,0.000330
agentsight,delegate,vcs,no_dynamic_result_dependency_concurrent,5,0.000053
agentsight,delegate,vcs,unknown_semantic_dependency,192,0.002045
agentsight,delegate,wait,no_dynamic_result_dependency_concurrent,2,0.000021
agentsight,delegate,wait,strong_control_dependency,1111,0.011831
agentsight,delegate,web,unknown_semantic_dependency,1,0.000011
agentsight,mutate,control,unknown_semantic_dependency,93,0.000990
agentsight,mutate,delegate,strong_same_artifact_state_dependency,6,0.000064
agentsight,mutate,delegate,unknown_semantic_dependency,459,0.004888
agentsight,mutate,mutate,no_dynamic_result_dependency_concurrent,37,0.000394
agentsight,mutate,mutate,strong_retry_feedback_dependency,28,0.000298
agentsight,mutate,mutate,strong_same_artifact_state_dependency,2625,0.027954
agentsight,mutate,mutate,unknown_semantic_dependency,2796,0.029775
agentsight,mutate,navigate,no_dynamic_result_dependency_concurrent,14,0.000149
agentsight,mutate,navigate,strong_same_artifact_state_dependency,13,0.000138
agentsight,mutate,navigate,unknown_semantic_dependency,59,0.000628
agentsight,mutate,other,strong_same_artifact_state_dependency,2,0.000021
agentsight,mutate,other,unknown_semantic_dependency,9,0.000096
agentsight,mutate,read,no_dynamic_result_dependency_concurrent,11,0.000117
agentsight,mutate,read,strong_same_artifact_state_dependency,1005,0.010703
agentsight,mutate,read,unknown_semantic_dependency,778,0.008285
agentsight,mutate,search,no_dynamic_result_dependency_concurrent,21,0.000224
agentsight,mutate,search,strong_same_artifact_state_dependency,542,0.005772
agentsight,mutate,search,unknown_semantic_dependency,841,0.008956
agentsight,mutate,shell,no_dynamic_result_dependency_concurrent,39,0.000415
agentsight,mutate,shell,strong_same_artifact_state_dependency,523,0.005570
agentsight,mutate,shell,unknown_semantic_dependency,983,0.010468
agentsight,mutate,validate,no_dynamic_result_dependency_concurrent,4,0.000043
agentsight,mutate,validate,strong_same_artifact_state_dependency,72,0.000767
agentsight,mutate,validate,strong_workspace_state_dependency,638,0.006794
agentsight,mutate,vcs,no_dynamic_result_dependency_concurrent,95,0.001012
agentsight,mutate,vcs,strong_same_artifact_state_dependency,215,0.002290
agentsight,mutate,vcs,unknown_semantic_dependency,567,0.006038
agentsight,mutate,wait,no_dynamic_result_dependency_concurrent,4,0.000043
agentsight,mutate,wait,strong_same_artifact_state_dependency,2,0.000021
agentsight,mutate,wait,unknown_semantic_dependency,338,0.003599
agentsight,mutate,web,unknown_semantic_dependency,2,0.000021
agentsight,navigate,control,strong_result_path_dependency,1,0.000011
agentsight,navigate,control,unknown_semantic_dependency,26,0.000277
agentsight,navigate,delegate,strong_result_path_dependency,1,0.000011
agentsight,navigate,delegate,unknown_semantic_dependency,35,0.000373
agentsight,navigate,mutate,no_dynamic_result_dependency_concurrent,3,0.000032
agentsight,navigate,mutate,strong_result_path_dependency,26,0.000277
agentsight,navigate,mutate,unknown_semantic_dependency,96,0.001022
agentsight,navigate,navigate,no_dynamic_result_dependency_concurrent,109,0.001161
agentsight,navigate,navigate,strong_result_path_dependency,25,0.000266
agentsight,navigate,navigate,strong_retry_feedback_dependency,7,0.000075
agentsight,navigate,navigate,unknown_semantic_dependency,83,0.000884
agentsight,navigate,read,no_dynamic_result_dependency_concurrent,190,0.002023
agentsight,navigate,read,strong_result_path_dependency,264,0.002811
agentsight,navigate,read,unknown_semantic_dependency,303,0.003227
agentsight,navigate,search,no_dynamic_result_dependency_concurrent,99,0.001054
agentsight,navigate,search,strong_result_path_dependency,47,0.000501
agentsight,navigate,search,unknown_semantic_dependency,102,0.001086
agentsight,navigate,shell,no_dynamic_result_dependency_concurrent,93,0.000990
agentsight,navigate,shell,strong_result_path_dependency,62,0.000660
agentsight,navigate,shell,unknown_semantic_dependency,148,0.001576
agentsight,navigate,validate,no_dynamic_result_dependency_concurrent,6,0.000064
agentsight,navigate,validate,strong_result_path_dependency,2,0.000021
agentsight,navigate,validate,unknown_semantic_dependency,21,0.000224
agentsight,navigate,vcs,no_dynamic_result_dependency_concurrent,127,0.001352
agentsight,navigate,vcs,strong_result_path_dependency,10,0.000106
agentsight,navigate,vcs,unknown_semantic_dependency,38,0.000405
agentsight,navigate,wait,unknown_semantic_dependency,76,0.000809
agentsight,other,delegate,unknown_semantic_dependency,1,0.000011
agentsight,other,mutate,unknown_semantic_dependency,2,0.000021
agentsight,other,navigate,unknown_semantic_dependency,1,0.000011
agentsight,other,other,no_dynamic_result_dependency_concurrent,2,0.000021
agentsight,other,other,unknown_semantic_dependency,1,0.000011
agentsight,other,read,unknown_semantic_dependency,6,0.000064
agentsight,other,search,unknown_semantic_dependency,1,0.000011
agentsight,other,shell,no_dynamic_result_dependency_concurrent,2,0.000021
agentsight,other,shell,unknown_semantic_dependency,4,0.000043
agentsight,other,vcs,unknown_semantic_dependency,1,0.000011
agentsight,other,web,unknown_semantic_dependency,1,0.000011
agentsight,read,control,no_dynamic_result_dependency_concurrent,2,0.000021
agentsight,read,control,strong_result_path_dependency,8,0.000085
agentsight,read,control,unknown_semantic_dependency,179,0.001906
agentsight,read,delegate,no_dynamic_result_dependency_concurrent,3,0.000032
agentsight,read,delegate,strong_result_path_dependency,6,0.000064
agentsight,read,delegate,unknown_semantic_dependency,277,0.002950
agentsight,read,mutate,no_dynamic_result_dependency_concurrent,26,0.000277
agentsight,read,mutate,observed_read_content_in_edit_context,553,0.005889
agentsight,read,mutate,same_exact_artifact_read_edit_proxy,1415,0.015069
agentsight,read,mutate,strong_result_path_dependency,135,0.001438
agentsight,read,mutate,unknown_semantic_dependency,1039,0.011065
agentsight,read,navigate,no_dynamic_result_dependency_concurrent,146,0.001555
agentsight,read,navigate,strong_result_path_dependency,62,0.000660
agentsight,read,navigate,unknown_semantic_dependency,411,0.004377
agentsight,read,other,unknown_semantic_dependency,9,0.000096
agentsight,read,read,already_batched_disjoint_local_reads,601,0.006400
agentsight,read,read,likely_independent_sequential_local_reads,3310,0.035249
agentsight,read,read,no_dynamic_result_dependency_concurrent,6709,0.071446
agentsight,read,read,strong_result_path_dependency,1444,0.015378
agentsight,read,read,strong_retry_feedback_dependency,87,0.000926
agentsight,read,read,unknown_semantic_dependency,2974,0.031671
agentsight,read,search,no_dynamic_result_dependency_concurrent,1039,0.011065
agentsight,read,search,strong_result_path_dependency,385,0.004100
agentsight,read,search,unknown_semantic_dependency,2321,0.024717
agentsight,read,shell,no_dynamic_result_dependency_concurrent,434,0.004622
agentsight,read,shell,strong_result_path_dependency,311,0.003312
agentsight,read,shell,unknown_semantic_dependency,1830,0.019488
agentsight,read,validate,no_dynamic_result_dependency_concurrent,43,0.000458
agentsight,read,validate,strong_result_path_dependency,15,0.000160
agentsight,read,validate,unknown_semantic_dependency,169,0.001800
agentsight,read,vcs,no_dynamic_result_dependency_concurrent,581,0.006187
agentsight,read,vcs,strong_result_path_dependency,85,0.000905
agentsight,read,vcs,unknown_semantic_dependency,444,0.004728
agentsight,read,wait,no_dynamic_result_dependency_concurrent,5,0.000053
agentsight,read,wait,unknown_semantic_dependency,487,0.005186
agentsight,read,web,strong_result_path_dependency,1,0.000011
agentsight,read,web,unknown_semantic_dependency,1,0.000011
agentsight,search,control,no_dynamic_result_dependency_concurrent,1,0.000011
agentsight,search,control,strong_result_path_dependency,2,0.000021
agentsight,search,control,unknown_semantic_dependency,64,0.000682
agentsight,search,delegate,strong_result_path_dependency,2,0.000021
agentsight,search,delegate,unknown_semantic_dependency,179,0.001906
agentsight,search,mutate,no_dynamic_result_dependency_concurrent,3,0.000032
agentsight,search,mutate,strong_result_path_dependency,296,0.003152
agentsight,search,mutate,unknown_semantic_dependency,889,0.009467
agentsight,search,navigate,no_dynamic_result_dependency_concurrent,152,0.001619
agentsight,search,navigate,strong_result_path_dependency,22,0.000234
agentsight,search,navigate,unknown_semantic_dependency,129,0.001374
agentsight,search,other,unknown_semantic_dependency,4,0.000043
agentsight,search,read,no_dynamic_result_dependency_concurrent,1087,0.011576
agentsight,search,read,strong_result_path_dependency,1302,0.013865
agentsight,search,read,unknown_semantic_dependency,1827,0.019456
agentsight,search,search,no_dynamic_result_dependency_concurrent,725,0.007721
agentsight,search,search,strong_result_path_dependency,483,0.005144
agentsight,search,search,strong_retry_feedback_dependency,61,0.000650
agentsight,search,search,unknown_semantic_dependency,2349,0.025015
agentsight,search,shell,no_dynamic_result_dependency_concurrent,231,0.002460
agentsight,search,shell,strong_result_path_dependency,169,0.001800
agentsight,search,shell,unknown_semantic_dependency,744,0.007923
agentsight,search,validate,no_dynamic_result_dependency_concurrent,84,0.000895
agentsight,search,validate,strong_result_path_dependency,7,0.000075
agentsight,search,validate,unknown_semantic_dependency,158,0.001683
agentsight,search,vcs,no_dynamic_result_dependency_concurrent,468,0.004984
agentsight,search,vcs,strong_result_path_dependency,86,0.000916
agentsight,search,vcs,unknown_semantic_dependency,245,0.002609
agentsight,search,wait,no_dynamic_result_dependency_concurrent,3,0.000032
agentsight,search,wait,unknown_semantic_dependency,323,0.003440
agentsight,search,web,unknown_semantic_dependency,6,0.000064
agentsight,shell,control,unknown_semantic_dependency,86,0.000916
agentsight,shell,delegate,no_dynamic_result_dependency_concurrent,7,0.000075
agentsight,shell,delegate,unknown_semantic_dependency,259,0.002758
agentsight,shell,mutate,no_dynamic_result_dependency_concurrent,30,0.000319
agentsight,shell,mutate,unknown_semantic_dependency,988,0.010521
agentsight,shell,navigate,no_dynamic_result_dependency_concurrent,70,0.000745
agentsight,shell,navigate,unknown_semantic_dependency,160,0.001704
agentsight,shell,other,unknown_semantic_dependency,1,0.000011
agentsight,shell,read,no_dynamic_result_dependency_concurrent,454,0.004835
agentsight,shell,read,unknown_semantic_dependency,1453,0.015473
agentsight,shell,search,no_dynamic_result_dependency_concurrent,293,0.003120
agentsight,shell,search,unknown_semantic_dependency,983,0.010468
agentsight,shell,shell,no_dynamic_result_dependency_concurrent,1976,0.021043
agentsight,shell,shell,strong_retry_feedback_dependency,200,0.002130
agentsight,shell,shell,unknown_semantic_dependency,3950,0.042065
agentsight,shell,validate,no_dynamic_result_dependency_concurrent,284,0.003024
agentsight,shell,validate,unknown_semantic_dependency,222,0.002364
agentsight,shell,vcs,no_dynamic_result_dependency_concurrent,591,0.006294
agentsight,shell,vcs,unknown_semantic_dependency,393,0.004185
agentsight,shell,wait,no_dynamic_result_dependency_concurrent,32,0.000341
agentsight,shell,wait,strong_control_dependency,3230,0.034397
agentsight,shell,web,unknown_semantic_dependency,4,0.000043
agentsight,validate,control,unknown_semantic_dependency,30,0.000319
agentsight,validate,delegate,no_dynamic_result_dependency_concurrent,1,0.000011
agentsight,validate,delegate,unknown_semantic_dependency,55,0.000586
agentsight,validate,mutate,no_dynamic_result_dependency_concurrent,13,0.000138
agentsight,validate,mutate,unknown_semantic_dependency,303,0.003227
agentsight,validate,navigate,no_dynamic_result_dependency_concurrent,11,0.000117
agentsight,validate,navigate,unknown_semantic_dependency,30,0.000319
agentsight,validate,other,unknown_semantic_dependency,1,0.000011
agentsight,validate,read,no_dynamic_result_dependency_concurrent,68,0.000724
agentsight,validate,read,unknown_semantic_dependency,257,0.002737
agentsight,validate,search,no_dynamic_result_dependency_concurrent,92,0.000980
agentsight,validate,search,unknown_semantic_dependency,198,0.002109
agentsight,validate,shell,no_dynamic_result_dependency_concurrent,123,0.001310
agentsight,validate,shell,unknown_semantic_dependency,268,0.002854
agentsight,validate,validate,no_dynamic_result_dependency_concurrent,558,0.005942
agentsight,validate,validate,strong_retry_feedback_dependency,92,0.000980
agentsight,validate,validate,unknown_semantic_dependency,464,0.004941
agentsight,validate,vcs,no_dynamic_result_dependency_concurrent,249,0.002652
agentsight,validate,vcs,unknown_semantic_dependency,177,0.001885
agentsight,validate,wait,no_dynamic_result_dependency_concurrent,6,0.000064
agentsight,validate,wait,unknown_semantic_dependency,172,0.001832
agentsight,vcs,control,no_dynamic_result_dependency_concurrent,1,0.000011
agentsight,vcs,control,unknown_semantic_dependency,129,0.001374
agentsight,vcs,delegate,no_dynamic_result_dependency_concurrent,6,0.000064
agentsight,vcs,delegate,unknown_semantic_dependency,168,0.001789
agentsight,vcs,mutate,no_dynamic_result_dependency_concurrent,23,0.000245
agentsight,vcs,mutate,unknown_semantic_dependency,942,0.010032
agentsight,vcs,navigate,no_dynamic_result_dependency_concurrent,191,0.002034
agentsight,vcs,navigate,unknown_semantic_dependency,69,0.000735
agentsight,vcs,other,unknown_semantic_dependency,3,0.000032
agentsight,vcs,read,no_dynamic_result_dependency_concurrent,440,0.004686
agentsight,vcs,read,unknown_semantic_dependency,755,0.008040
agentsight,vcs,search,no_dynamic_result_dependency_concurrent,394,0.004196
agentsight,vcs,search,unknown_semantic_dependency,447,0.004760
agentsight,vcs,shell,no_dynamic_result_dependency_concurrent,360,0.003834
agentsight,vcs,shell,unknown_semantic_dependency,491,0.005229
agentsight,vcs,validate,no_dynamic_result_dependency_concurrent,74,0.000788
agentsight,vcs,validate,unknown_semantic_dependency,210,0.002236
agentsight,vcs,vcs,no_dynamic_result_dependency_concurrent,2030,0.021618
agentsight,vcs,vcs,strong_retry_feedback_dependency,31,0.000330
agentsight,vcs,vcs,unknown_semantic_dependency,887,0.009446
agentsight,vcs,wait,no_dynamic_result_dependency_concurrent,4,0.000043
agentsight,vcs,wait,unknown_semantic_dependency,209,0.002226
agentsight,wait,control,unknown_semantic_dependency,38,0.000405
agentsight,wait,delegate,no_dynamic_result_dependency_concurrent,4,0.000043
agentsight,wait,delegate,unknown_semantic_dependency,1077,0.011469
agentsight,wait,mutate,no_dynamic_result_dependency_concurrent,1,0.000011
agentsight,wait,mutate,unknown_semantic_dependency,431,0.004590
agentsight,wait,navigate,unknown_semantic_dependency,123,0.001310
agentsight,wait,read,no_dynamic_result_dependency_concurrent,14,0.000149
agentsight,wait,read,unknown_semantic_dependency,1079,0.011491
agentsight,wait,search,no_dynamic_result_dependency_concurrent,2,0.000021
agentsight,wait,search,unknown_semantic_dependency,419,0.004462
agentsight,wait,shell,no_dynamic_result_dependency_concurrent,56,0.000596
agentsight,wait,shell,unknown_semantic_dependency,2426,0.025835
agentsight,wait,validate,no_dynamic_result_dependency_concurrent,2,0.000021
agentsight,wait,validate,unknown_semantic_dependency,74,0.000788
agentsight,wait,vcs,no_dynamic_result_dependency_concurrent,5,0.000053
agentsight,wait,vcs,unknown_semantic_dependency,220,0.002343
agentsight,wait,wait,no_dynamic_result_dependency_concurrent,147,0.001565
agentsight,wait,wait,strong_control_dependency,2338,0.024898
agentsight,web,control,unknown_semantic_dependency,2,0.000021
agentsight,web,mutate,unknown_semantic_dependency,10,0.000106
agentsight,web,navigate,unknown_semantic_dependency,1,0.000011
agentsight,web,read,unknown_semantic_dependency,9,0.000096
agentsight,web,search,unknown_semantic_dependency,1,0.000011
agentsight,web,shell,no_dynamic_result_dependency_concurrent,1,0.000011
agentsight,web,shell,unknown_semantic_dependency,1,0.000011
agentsight,web,vcs,unknown_semantic_dependency,1,0.000011
agentsight,web,web,no_dynamic_result_dependency_concurrent,234,0.002492
agentsight,web,web,strong_retry_feedback_dependency,20,0.000213
agentsight,web,web,unknown_semantic_dependency,128,0.001363
agentskill-observability-paper,control,control,unknown_semantic_dependency,1,0.001224
agentskill-observability-paper,control,mutate,unknown_semantic_dependency,1,0.001224
agentskill-observability-paper,control,read,unknown_semantic_dependency,11,0.013464
agentskill-observability-paper,control,search,unknown_semantic_dependency,1,0.001224
agentskill-observability-paper,control,web,unknown_semantic_dependency,4,0.004896
agentskill-observability-paper,delegate,delegate,strong_retry_feedback_dependency,2,0.002448
agentskill-observability-paper,delegate,delegate,unknown_semantic_dependency,2,0.002448
agentskill-observability-paper,delegate,mutate,unknown_semantic_dependency,5,0.006120
agentskill-observability-paper,delegate,other,unknown_semantic_dependency,1,0.001224
agentskill-observability-paper,delegate,read,unknown_semantic_dependency,7,0.008568
agentskill-observability-paper,delegate,search,unknown_semantic_dependency,2,0.002448
agentskill-observability-paper,mutate,control,unknown_semantic_dependency,1,0.001224
agentskill-observability-paper,mutate,delegate,strong_same_artifact_state_dependency,2,0.002448
agentskill-observability-paper,mutate,delegate,unknown_semantic_dependency,16,0.019584
agentskill-observability-paper,mutate,mutate,no_dynamic_result_dependency_concurrent,8,0.009792
agentskill-observability-paper,mutate,mutate,strong_same_artifact_state_dependency,93,0.113831
agentskill-observability-paper,mutate,mutate,unknown_semantic_dependency,8,0.009792
agentskill-observability-paper,mutate,other,strong_same_artifact_state_dependency,2,0.002448
