project,source_stream_id,source_call_id,source_kind,files
agentsight,1eeec47ba92e6c21,call_0SZmaKKkxmOmCasYOx2DziVj,read,SKILL.md
agentsight,1eeec47ba92e6c21,call_LyCbpuRIUfbVVTHYgudynBZg,read,SKILL.md
agentsight,1eeec47ba92e6c21,call_vDe2h4YHorRf2QvdWaOZD24c,read,AGENTS.md;CLAUDE.md
agentsight,1eeec47ba92e6c21,call_W26HuZKa9tIGTK3V4VjV5gSw,read,SKILL.md
ActPlane,b87cf7c80235b14d,toolu_017e1VXzLB1T45jpzMykxMHQ,read,AGENTS.md
ActPlane,b87cf7c80235b14d,toolu_01FMvd5kVCMV4jwSh2gb7v1M,read,AGENTS.md
ActPlane,dd8d9ad9d0a1f345,call_XAGudRF8zcd1kf92xUZqp6nq,read,CLAUDE.md
agentsight,cf9ecd92ef8c3904,call_nUSsbwMgGR2wM8CMbEdbq718,read,SKILL.md
agentsight,cf9ecd92ef8c3904,call_KDn4FNw7N5QMrUMbURF0uIP1,read,SKILL.md
ActPlane,dd83e83d314efb37,toolu_018mgCCbRucJSki49pgB4RWE,read,AGENTS.md
ActPlane,dd83e83d314efb37,toolu_01Fo7mbc4jtg5ZjcJLfnnii5,read,AGENTS.md
ActPlane,dd83e83d314efb37,toolu_01NAojEXdwXHdUhd5wUsCsNa,read,AGENTS.md
academic-writing-skills,da9c728202aa8e4e,toolu_01QHLnVv2ZeP7RQ23S71kLtM,read,SKILL.md
academic-writing-skills,da9c728202aa8e4e,toolu_01LbbT5aDH1mdwnRmPACR3vQ,read,SKILL.md
academic-writing-skills,da9c728202aa8e4e,toolu_01TjMBqRFdyyeXrPgxhBC123,read,SKILL.md
academic-writing-skills,da9c728202aa8e4e,toolu_014Ladvdc15CMcp8qPEwbP5j,read,SKILL.md
ActPlane,47e87494fe0d18a3,toolu_01HMA3BwBTrHNy2xqdGaDAmc,read,CLAUDE.md
agentsight,c5d19f64e351f8c2,call_HDzHZBD1t1AiA6vmyivPP4Ww,read,SKILL.md
agentsight,cf6801275ec2d7f0,call_qTf9ptyAuH7RLpRLS6fVMe84,read,SKILL.md
agentsight,a04b51a3ed945b87,call_PFDpQGOxVRnxpYmMt6rp8rll,read,SKILL.md
agentsight,cf0711c4421f9bcd,call_9CGDbHppzhowbzxIEQEOtTo6,read,SKILL.md
ActPlane,67207f275de3df5c,toolu_01CZsfrUX1Fkq6Y3b7fdP4pE,read,CLAUDE.md
agentsight,6952e588d40280f8,call_gQXmP5y7PlscfF677puTIJ1x,read,SKILL.md
agentsight,6952e588d40280f8,call_ti79YhOL2qErbbybJPDOcBqo,read,SKILL.md
agentsight,6952e588d40280f8,call_w9Is6dl57oJbMvNzyaLE7Obn,read,SKILL.md
ActPlane,4ed96c1c692e10f9,call_9o5lCarrhjh5omsVKsu1fCkw,read,CLAUDE.md
agentsight,76088f5fa260b22d,call_2IPbTLG94EwHFMsgnkazdYs4,read,SKILL.md
agentsight,76088f5fa260b22d,call_b9e6Q3gujWv2UaGfZqdlJmcT,read,SKILL.md
agentsight,76088f5fa260b22d,call_vy24CVe5D2lL5u56nlnrYcvz,read,SKILL.md
agentsight,97947773824e7efe,call_I6S11rF4dYHvG3pr8GYn1BYZ,read,SKILL.md
agentsight,0fa8da94a5f9bee0,call_FCErZJmLPh9Jsbv1H2KLOTrX,read,SKILL.md
agentsight,022fd26f40ea93a4,call_E0PuWkfQO8PgKNtmjUoJm0Ve,read,SKILL.md
agentsight,a1457944b77bd8dd,call_CDsmgmrkbGey6PtN3BqbkZmt,read,SKILL.md
eunomia-dev,5ce09e0480995d63,call_XtTjPWPl1nrbKyxFrtxXvm9n,read,SKILL.md
agentsight,859afb65435e96b8,toolu_017ifLh68b5csncsYWMMf2Fx,read,SKILL.md
agentsight,859afb65435e96b8,toolu_016oZkgG9Mjbws7CTC4JCjRY,read,SKILL.md
agentsight,859afb65435e96b8,toolu_01M3GxGDD6NkQ1VdtZJErL8x,read,SKILL.md
agentsight,859afb65435e96b8,toolu_01FB3hBAz9W71gPJM1kGL1HY,mutation,SKILL.md
agentsight,859afb65435e96b8,toolu_01KehnB2gJovy5yM8wLSbtgt,mutation,SKILL.md
agentsight,859afb65435e96b8,toolu_01AZec44C1kNLoGRP2BPwmPy,mutation,SKILL.md
agentsight,859afb65435e96b8,toolu_01CMS3PWhqnqqmEPBo5hYyR4,read,SKILL.md
agentsight,859afb65435e96b8,toolu_01Gvywsv74eQCRrWvpaRz9Sx,read,SKILL.md
agentsight,859afb65435e96b8,toolu_01CjKri7xr3bN9gysRahrExs,read,SKILL.md
agentsight,859afb65435e96b8,toolu_01SHPBWryUEqTtNQBzLzAa41,mutation,SKILL.md
