project,worktree_id,previous_component,next_component,previous_sessions,next_sessions,gap_ms,next_action_count,no_observed_mutation,first_mutation_action_step,first_mutation_delay_ms,prefix_actions,predecessor_artifact_count,predecessor_module_count,next_mutated_artifact_count,next_mutated_module_count,artifact_overlap,module_overlap,prefix_predecessor_artifact,prefix_predecessor_module,prefix_other_resolved_artifact,prefix_other_resolved_scope,prefix_no_resolved_path,first_predecessor_mutated,first_predecessor_accessed,first_earlier_history,first_confirmed_create,first_first_observed_existing,first_unknown_lineage
bpf-developer-tutorial,a192f642f3ee,27,28,1,1,10760553,118,False,30,115730,29,14,2,8,1,0.0,1.0,7,14,1,0,7,0,0,0,0,1,0
eunomia.dev,30e8a01e495d,0,1,1,1,32475932,35,True,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,1,2,1,6,88630345,348,True,,,0,12,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,2,3,6,1,6456064962,2521,False,26,66736,25,71,5,10,3,0.0,1.0,1,4,0,0,20,0,0,0,0,1,0
eunomia.dev,30e8a01e495d,3,4,1,1,591844,1080,True,,,0,124,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,4,5,1,2,61210927,927,True,,,0,76,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,5,6,2,1,61309320,185,True,,,0,61,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,6,7,1,1,103557029,97,False,33,93871,32,10,4,1,1,0.0,1.0,0,15,0,0,17,0,0,0,1,0,0
eunomia.dev,30e8a01e495d,7,8,1,1,83228608,29,True,,,0,16,3,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,8,9,1,1,502099,8,True,,,0,9,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,9,10,1,2,326008688,661,False,51,193331,50,0,0,7,3,,,0,0,16,0,34,0,0,0,0,1,0
eunomia.dev,30e8a01e495d,10,11,2,1,183653858,305,False,84,518183,83,70,5,20,3,0.1,1.0,11,23,0,0,49,0,0,0,0,12,0
eunomia.dev,30e8a01e495d,11,12,1,1,892863648,365,False,8,415731,7,33,4,4,3,0.0,1.0,0,2,0,0,5,0,0,1,0,0,0
eunomia.dev,30e8a01e495d,12,13,1,1,69289934,223,False,63,288824,62,5,3,10,1,0.0,0.0,0,1,17,0,44,0,0,1,0,0,0
eunomia.dev,30e8a01e495d,13,14,1,1,444870633,33,True,,,0,32,3,0,0,,,0,0,0,0,0,0,0,0,0,0,0
eunomia.dev,30e8a01e495d,14,15,1,5,513815200,483,False,64,209863,63,2,1,3,1,0.0,1.0,0,1,17,0,45,0,0,0,0,3,0
eunomia.dev,30e8a01e495d,15,16,5,24,1288443762,6082,False,76,1234763,75,33,6,82,11,0.04878048780487805,0.45454545454545453,11,6,0,0,58,0,0,1,0,0,0
agentskill-observability-paper,4cfc7c676cf9,0,1,6,2,168716,102,False,16,267252,15,20,1,6,1,0.3333333333333333,1.0,3,0,0,0,12,1,0,0,0,0,0
