Type: file_events
Showing nodes accounting for 606, 82.23% of 737 total
Dropped 682 nodes (cum <= 3)
      flat  flat%   sum%        cum   cum%
         0     0% 82.23%          5  0.68%  tool_evidence:bash:tool:00738
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00739
         0     0% 82.23%          5  0.68%  tool_evidence:bash:tool:00740
         0     0% 82.23%          4  0.54%  tool_evidence:bash:tool:00741
         0     0% 82.23%         17  2.31%  tool_evidence:exec_command:tool:00000
         0     0% 82.23%         10  1.36%  tool_evidence:exec_command:tool:00001
         0     0% 82.23%          7  0.95%  tool_evidence:exec_command:tool:00002
         0     0% 82.23%         17  2.31%  tool_evidence:exec_command:tool:00003
         0     0% 82.23%          7  0.95%  tool_evidence:exec_command:tool:00004
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00005
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00006
         0     0% 82.23%          5  0.68%  tool_evidence:exec_command:tool:00008
         0     0% 82.23%          4  0.54%  tool_evidence:exec_command:tool:00009
         0     0% 82.23%         10  1.36%  tool_evidence:exec_command:tool:00010
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00011
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00012
         0     0% 82.23%          4  0.54%  tool_evidence:exec_command:tool:00013
         0     0% 82.23%          4  0.54%  tool_evidence:exec_command:tool:00014
         0     0% 82.23%          4  0.54%  tool_evidence:exec_command:tool:00015
         0     0% 82.23%          5  0.68%  tool_evidence:exec_command:tool:00017
         0     0% 82.23%          4  0.54%  tool_evidence:exec_command:tool:00018
         0     0% 82.23%          4  0.54%  tool_evidence:exec_command:tool:00019
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00020
         0     0% 82.23%          6  0.81%  tool_evidence:exec_command:tool:00021
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00022
         0     0% 82.23%          4  0.54%  tool_evidence:exec_command:tool:00024
         0     0% 82.23%          4  0.54%  tool_evidence:exec_command:tool:00025
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00032
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00033
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00034
         0     0% 82.23%          5  0.68%  tool_evidence:exec_command:tool:00035
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00036
         0     0% 82.23%          4  0.54%  tool_evidence:exec_command:tool:00040
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00042
         0     0% 82.23%          3  0.41%  tool_evidence:exec_command:tool:00050
