process,total_weight,top_prompt,top_prompt_weight,top_prompt_share_pct,distinct_prompt_tags,top_prompt_splits
cmd_python3,8,build,3,37.5,4,build=3; research=3; bin=1; refactor=1
old_pids_pgrep,8,network,4,50.0,2,network=4; push=4
15s,8,review,6,75.0,2,review=6; refactor=2
2s,8,refactor,8,100.0,1,refactor=8
od,7,benchmark,3,42.857,3,benchmark=3; test=3; review=1
count_0,7,explain,5,71.429,2,explain=5; research=2
pythondontwritebytecode_1,7,review,7,100.0,1,review=7
10,6,refactor,4,66.667,2,refactor=4; review=2
ai-agent-traces-20260601-235658-pdt-root-owned-addendum.tar.zst,6,backup,6,100.0,1,backup=6
ai-agent-traces-20260601-235658-pdt.tar.zst,6,backup,6,100.0,1,backup=6
20,6,design,2,33.333,3,design=2; feedback=2; testcodex=2
ccache,6,review,6,100.0,1,review=6
smoke_new_20260304_223429,6,docs,6,100.0,1,docs=6
smoke_new_auto_20260304_230243,6,docs,6,100.0,1,docs=6
smoke_cgroup_20260304_223818,6,test,6,100.0,1,test=6
task_swebench_example_date,6,testdocs,6,100.0,1,testdocs=6
smoke_20260304_201058,6,trace,6,100.0,1,trace=6
sweb.eval.x86_64.encode_1776_starlette-1147_20260304_201101,6,trace,6,100.0,1,trace=6
micro_pure_jit.yaml,6,benchmark,3,50.0,2,benchmark=3; refactor=3
bpfrejit-make-test-_date,6,refactor,5,83.333,2,refactor=5; build=1
llvm_kinsn_programs_select_20260518_165342,6,debug,3,50.0,2,debug=3; refactor=3
modinfo,6,refactor,3,50.0,4,refactor=3; debug=1; review=1; test=1
opts_-dskip_debug_1_-denable_ipv4_1_-denable_ipv6_1_-denable_routing_1_-dpolicy_verdict_notify_1_-dmonitor_aggregation_3_-dct_report_flags_0x0002_-denable_host_firewall_1_-denable_srv6_1_-denable_l7_lb_1_-denable_masquerade_ipv4_1_-denable_ip_masq_agent_ipv4_1_-denable_masquerade_ipv6_1_-denable_ip_masq_agent_ipv6_1_-denable_nodeport_1_-denable_nodeport_acceleration_1_-denable_dsr_icmp_errors_1_-denable_dsr_1_-denable_dsr_byuser_1_-denable_bandwidth_manager_1_-denable_egress_gateway_1_-denable_vtep_1_-denable_host_routing_1_-denable_cluster_aware_addressing_1_-denable_inter_cluster_snat_1_-dencap_ifindex_1_-dtunnel_mode_1,6,design,6,100.0,1,design=6
x86_kvm_corpus_20260524_163619_854693,6,design,6,100.0,1,design=6
x86_kvm_corpus_20260524_172528_643521,6,design,6,100.0,1,design=6
bench_bcc_runqlat_log2_histogram_bucket_payload_prefix_memcmp_scan_packet_vlan_tcpopt_parser_katran_lb_consistent_hash_select_packet_record_bounds_window_packed_header_bitfield_decode_cilium_socket_lb_service_select_bcc_tcpconnect_ipv4_tuple_filter_cilium_ct_nat_tuple_rewrite_bpftrace_comm_key_fnv_hash,6,refactor,6,100.0,1,refactor=6
bench_cilium_socket_lb_service_select,6,refactor,6,100.0,1,refactor=6
bench_simple_simple_packet_bitmap_popcount_scan_sorted_rule_binary_search_bcc_runqlat_log2_histogram_bucket_packet_checksum_fold_payload_prefix_memcmp_scan_packet_vlan_tcpopt_parser_flow_5tuple_rss_hash_katran_lb_consistent_hash_select_cilium_policy_guard_tree_filter_siphash_rotate64_mixer_packet_record_bounds_window_flow_record_field_scan_packed_header_bitfield_decode_bpftrace_string_search_prefix_scan_cilium_socket_lb_service_select_bcc_tcpconnect_ipv4_tuple_filter_cilium_ct_nat_tuple_rewrite_packet_toeplitz_rss_hash_bpftrace_comm_key_fnv_hash_tc_packet_checksum_fold_cgroup_skb_hash_chain,6,refactor,6,100.0,1,refactor=6
bench_sorted_rule_binary_search,6,refactor,6,100.0,1,refactor=6
bpf-kinsn-micro-smoke,6,refactor,6,100.0,1,refactor=6
bpf_kinsn_llc_no_select.sh,6,refactor,6,100.0,1,refactor=6
ln,6,refactor,4,66.667,2,refactor=4; linksetup=2
bpfopt-loader,6,config,1,16.667,6,config=1; doc=1; refactor=1; research=1; review=1; testrun=1
path_path,6,feedback,3,50.0,2,feedback=3; review=3
google-chrome,6,merge,3,50.0,2,merge=3; refactor=3
sh,6,review,6,100.0,1,review=6
18s,6,test,3,50.0,2,test=3; trace=3
stress-ng,6,docs,6,100.0,1,docs=6
rustflags_-d_warnings,6,refactor,6,100.0,1,refactor=6
r160_fixed_cached_seconds_e,5,analyze,5,100.0,1,analyze=5
r160_fixed_clean_seconds_e,5,analyze,5,100.0,1,analyze=5
body_gh,5,refactor,4,80.0,2,refactor=4; branding=1
540,4,docs,4,100.0,1,docs=4
source,4,refactor,2,50.0,2,refactor=2; source=2
2.1.163,4,metrics,2,50.0,2,metrics=2; review=2
rustflags_-w_dead-code_-w_unused-imports,4,refactor,4,100.0,1,refactor=4
rustflags_-w_dead_code,4,review,4,100.0,1,review=4
until,4,review,3,75.0,2,review=3; test=1
r160_cached_seconds_e,4,analyze,4,100.0,1,analyze=4
r160_clean_seconds_e,4,analyze,4,100.0,1,analyze=4
now_date,4,cleanup,4,100.0,1,cleanup=4
snap,4,review,4,100.0,1,review=4
filterdiff,4,commit,4,100.0,1,commit=4
script,4,commit,1,25.0,4,commit=1; design=1; feedback=1; review=1
240s,4,design,4,100.0,1,design=4
nginx,4,design,1,25.0,4,design=1; review=1; network=1; push=1
pdflatex,4,docs,2,50.0,3,docs=2; design=1; review=1
agentsight-gemini-debug-1779851246,4,refactor,4,100.0,1,refactor=4
config,4,refactor,4,100.0,1,refactor=4
20260615t-w4-attach-window-optrace-gatefix,4,review,4,100.0,1,review=4
actionlint,4,test,2,50.0,2,test=2; refactor=2
task_smoke_new_auto_date,4,docs,4,100.0,1,docs=4
bcc__set.baseline.log,4,analyze,2,50.0,2,analyze=2; test=2
bpfrejit_bench_passes_noop_map_inline_const_prop_dce_rotate_cond_select_extract_endian_fusion_lea_ccmp_bulk_memory_prefetch_wide_mem_bounds_check_merge_skb_load_bytes_spec_noop_const_prop_dce,4,debug,2,50.0,2,debug=2; test=2
bpf-benchmark_yield_time_ms:1000,4,design,2,50.0,2,design=2; refactor=2
pid_pgrep,4,design,4,100.0,1,design=4
realpath,4,design,4,100.0,1,design=4
x86_kvm_corpus_20260524_082241_966541,4,design,4,100.0,1,design=4
tag_llvm_kinsn_programs_liveoutfix_date,4,ignored,2,50.0,2,ignored=2; refactor=2
actplane-codex-home-home,4,refactor,4,100.0,1,refactor=4
bench_simple,4,refactor,4,100.0,1,refactor=4
bench_tc_packet_checksum_fold,4,refactor,4,100.0,1,refactor=4
bench_trace_event_type_switch_dispatch,4,refactor,2,50.0,2,refactor=2; test=2
bpf-benchmark-docker.img,4,refactor,4,100.0,1,refactor=4
bpfbench-handcraft-nolookup,4,refactor,4,100.0,1,refactor=4
bpfrejit_bench_passes_noop_map_inline_const_prop_dce,4,refactor,4,100.0,1,refactor=4
bpfrejit_bench_passes_noop_map_inline_const_prop_dce_rotate_cond_select_extract_endian_fusion_lea_ccmp_bulk_memory_prefetch,4,refactor,4,100.0,1,refactor=4
bpfrejit_corpus_bpf_stats_0,4,refactor,2,50.0,2,refactor=2; review=2
cloc,4,refactor,4,100.0,1,refactor=4
dump_siphash_handcraft,4,refactor,4,100.0,1,refactor=4
dump_sorted_handcraft,4,refactor,4,100.0,1,refactor=4
llvm-tblgen,4,refactor,4,100.0,1,refactor=4
pyflakes,4,refactor,4,100.0,1,refactor=4
runtimes_kernel_native_kernel,4,refactor,2,50.0,2,refactor=2; review=2
runtimes_kernel_native_kernel_llvmbpf_native,4,refactor,2,50.0,2,refactor=2; review=2
tmp.agpobi0ens,4,refactor,4,100.0,1,refactor=4
tmp.mopj84ymp1,4,refactor,4,100.0,1,refactor=4
tmp_c_mktemp,4,refactor,4,100.0,1,refactor=4
tr,4,refactor,3,75.0,2,refactor=3; review=1
katran-chain-runner,4,foldersetup,2,50.0,2,foldersetup=2; research=2
wd_mktemp,4,mapinline,2,50.0,2,mapinline=2; refactor=2
bpfanalysis_warn_verifier_log_1,4,research,4,100.0,1,research=4
ip,4,research,4,100.0,1,research=4
sysctl,4,research,1,25.0,4,research=1; review=1; network=1; push=1
12s,4,build,2,50.0,2,build=2; comment=2
gemini-cli-core,4,feedback,2,50.0,2,feedback=2; review=2
--kill-after_5s,4,refactor,2,50.0,2,refactor=2; test=2
body_file_mktemp,4,refactor,4,100.0,1,refactor=4
agentsight_real_openclaw_smoke_1,4,review,4,100.0,1,review=4
fuser,4,review,4,100.0,1,review=4
5s,4,test,4,100.0,1,test=4
agentsight-raw-ssl-http.log,4,test,2,50.0,2,test=2; trace=2
systemd-run,4,test,2,50.0,2,test=2; trace=2
process,4,tokenize,2,50.0,2,tokenize=2; trace=2
perf,4,docs,2,50.0,2,docs=2; uxdesign=2
llama-gguf,4,testcodexcod,4,100.0,1,testcodexcod=4
git_editor_true,3,merge,1,33.333,3,merge=1; test=1; trace=1
agentflame,3,analyze,3,100.0,1,analyze=3
sort,3,analyzesess,3,100.0,1,analyzesess=3
systemd-analyze,3,refactor,2,66.667,2,refactor=2; syncdir=1
man,3,review,2,66.667,2,review=2; design=1
f_readlink,2,test,2,100.0,1,test=2
debian_frontend_noninteractive,2,trace,2,100.0,1,trace=2
node_which,2,docs,2,100.0,1,docs=2
split_count,2,refactor,1,50.0,2,refactor=1; review=1
added_git,2,refactor,2,100.0,1,refactor=2
claude_bin_readlink,2,refactor,1,50.0,2,refactor=1; review=1
claude_pid_67363,2,refactor,1,50.0,2,refactor=1; review=1
rustflags_-w_unused,2,refactor,2,100.0,1,refactor=2
agentsight_yield_time_ms:1000,2,analyze,1,50.0,2,analyze=1; tag=1
free,2,analyze,2,100.0,1,analyze=2
no_timeout,2,analyze,2,100.0,1,analyze=2
terminal-bench,2,cli,2,100.0,1,cli=2
llama-completion,2,design,2,100.0,1,design=2
bsdtar,2,backup,2,100.0,1,backup=2
zstd,2,backup,2,100.0,1,backup=2
history.jsonl,2,review,2,100.0,1,review=2
nix,2,branding,2,100.0,1,branding=2
tune2fs,2,diskfull,2,100.0,1,diskfull=2
buildctl,2,cleanup,2,100.0,1,cleanup=2
cargo_log_cargo::core::workspace_trace,2,commit,2,100.0,1,commit=2
expect,2,commit,1,50.0,2,commit=1; design=1
bibtex,2,design,1,50.0,2,design=1; review=1
latexmk,2,design,1,50.0,2,design=1; review=1
container_agentsight-openclaw-docs-,2,docs,1,50.0,2,docs=1; perfstrace=1
agentsight-claude-tool-debug-_date,2,refactor,2,100.0,1,refactor=2
vng,2,refactor,2,100.0,1,refactor=2
80s,2,research,2,100.0,1,research=2
45s,2,review,2,100.0,1,review=2
criu,2,review,2,100.0,1,review=2
go,2,review,2,100.0,1,review=2
redis-server,2,review,2,100.0,1,review=2
smoke_new_20260304_204313,2,analyze,2,100.0,1,analyze=2
base_ls,2,compare,2,100.0,1,compare=2
empirical_study_20260305_full,2,docs,1,50.0,2,docs=1; refactor=1
task_dir_ls,2,docs,2,100.0,1,docs=2
ebpf_trace.jsonl,2,test,2,100.0,1,test=2
pilot_haiku_small_20260304_231642,2,test,2,100.0,1,test=2
pilotbfix_r2_231942,2,test,2,100.0,1,test=2
pilotbfix_r3_232005,2,test,2,100.0,1,test=2
bpfrejit_shim_native_loader_1,2,analyze,1,50.0,2,analyze=1; test=1
llvm_kinsn_programs_popcnt_date_+_y_m_d_h_m_s,2,analyze,1,50.0,2,analyze=1; refactor=1
tetragon__observer.baseline.log,2,analyze,1,50.0,2,analyze=1; test=1
bench_packed_header_bitfield_decode_handcraft_packet_toeplitz_rss_hash_handcraft,2,compare,1,50.0,2,compare=1; refactor=1
dpkg,2,constraints,1,50.0,2,constraints=1; research=1
llvm_kinsn_programs_bextr_20260518_170534,2,debug,1,50.0,2,debug=1; refactor=1
llvm_kinsn_programs_bextr_date_+_y_m_d_h_m_s,2,debug,1,50.0,2,debug=1; refactor=1
llvm_kinsn_programs_entryinit_date_+_y_m_d_h_m_s,2,debug,1,50.0,2,debug=1; refactor=1
llvm_kinsn_programs_profit_20260519_002050,2,debug,1,50.0,2,debug=1; refactor=1
llvm_kinsn_programs_rotatefix_date_+_y_m_d_h_m_s,2,debug,1,50.0,2,debug=1; refactor=1
llvm_kinsn_programs_scratch_date_+_y_m_d_h_m_s,2,debug,1,50.0,2,debug=1; refactor=1
llvm_kinsn_programs_select_date_+_y_m_d_h_m_s,2,debug,1,50.0,2,debug=1; refactor=1
tag_lea_no_scratch_date,2,debug,1,50.0,2,debug=1; refactor=1
tag_lea_preemit_pair_date,2,debug,1,50.0,2,debug=1; refactor=1
tag_llvm_kinsn_programs_lea_reg_pair_date,2,debug,1,50.0,2,debug=1; refactor=1
127.0.0.1:46102,2,deployed,2,100.0,1,deployed=2
port_46102,2,deployed,2,100.0,1,deployed=2
log_find,2,design,2,100.0,1,design=2
ndisasm,2,design,2,100.0,1,design=2
x86_kvm_corpus_20260524_072820_934011,2,design,2,100.0,1,design=2
x86_kvm_corpus_20260524_094241_164017,2,design,2,100.0,1,design=2
x86_kvm_corpus_20260524_165555_084871,2,design,2,100.0,1,design=2
tmp.tduxl5cohz,2,explain,1,50.0,2,explain=1; refactor=1
llvm-config-18,2,export,1,50.0,2,export=1; refactor=1
llvm_kinsn_programs_bpfopt_gap_date,2,flags,1,50.0,2,flags=1; refactor=1
llvm_kinsn_programs_flags_default_date_+_y_m_d_h_m_s,2,flags,1,50.0,2,flags=1; ignored=1
llvm_kinsn_programs_flags_rotate_nocost_date_+_y_m_d_h_m_s,2,flags,1,50.0,2,flags=1; ignored=1
llvm_kinsn_programs_mov_regfix_date_+_y_m_d_h_m_s,2,ignored,1,50.0,2,ignored=1; refactor=1
llvm_kinsn_programs_mov_scratchfix_date_+_y_m_d_h_m_s,2,ignored,1,50.0,2,ignored=1; refactor=1
llvm_kinsn_programs_mov_split_date_+_y_m_d_h_m_s,2,ignored,1,50.0,2,ignored=1; refactor=1
llvm_kinsn_programs_movbe16_fast_date_+_y_m_d_h_m_s,2,ignored,1,50.0,2,ignored=1; refactor=1
llvm_kinsn_programs_movbe_fast_date_+_y_m_d_h_m_s,2,ignored,1,50.0,2,ignored=1; refactor=1
llvm_kinsn_programs_rotate_scratch_date_+_y_m_d_h_m_s,2,ignored,1,50.0,2,ignored=1; refactor=1
llvm_kinsn_programs_scratch_mask_date_+_y_m_d_h_m_s,2,ignored,1,50.0,2,ignored=1; refactor=1
tag_llvm_kinsn_programs_lea_liveout2_date,2,ignored,1,50.0,2,ignored=1; refactor=1
tag_llvm_kinsn_programs_rotate_cost_date,2,ignored,1,50.0,2,ignored=1; refactor=1
tag_pack_kinsn2_date,2,ignored,1,50.0,2,ignored=1; refactor=1
tag_pack_kinsn3_date,2,ignored,1,50.0,2,ignored=1; refactor=1
tag_pack_kinsn_date,2,ignored,1,50.0,2,ignored=1; refactor=1
llvm_kinsn_programs_force_all_date_+_y_m_d_h_m_s,2,readme,1,50.0,2,readme=1; refactor=1
llvm_kinsn_programs_force_all_legal_date_+_y_m_d_h_m_s,2,readme,1,50.0,2,readme=1; refactor=1
15,2,refactor,2,100.0,1,refactor=2
actplane-codex-home,2,refactor,2,100.0,1,refactor=2
bench_bcc_runqlat_log2_histogram_bucket_bcc_tcpconnect_ipv4_tuple_filter_bitmap_popcount_scan_bpftrace_string_search_prefix_scan_cilium_ct_nat_tuple_rewrite_cilium_policy_guard_tree_filter_flow_5tuple_rss_hash_flow_record_field_scan_katran_lb_consistent_hash_select_packed_header_bitfield_decode_packet_checksum_fold_payload_prefix_memcmp_scan_simple_simple_packet_siphash_rotate64_mixer_sorted_rule_binary_search_tc_packet_checksum_fold,2,refactor,2,100.0,1,refactor=2
bench_bcc_runqlat_log2_histogram_bucket_payload_prefix_memcmp_scan_packet_record_bounds_window_cilium_socket_lb_service_select_bcc_tcpconnect_ipv4_tuple_filter_bpftrace_comm_key_fnv_hash,2,refactor,2,100.0,1,refactor=2
bench_bcc_tcpconnect_ipv4_tuple_filter_tetragon_process_event_arg_filter_otel_stack_frame_unwind_scan_cilium_ct_nat_tuple_rewrite_packet_toeplitz_rss_hash_bpftrace_comm_key_fnv_hash,2,refactor,2,100.0,1,refactor=2
bench_packet_checksum_fold,2,refactor,2,100.0,1,refactor=2
bench_packet_toeplitz_rss_hash_packet_toeplitz_rss_hash_handcraft,2,refactor,2,100.0,1,refactor=2
bench_simple_native_handcraft_bitmap_popcount_scan_native_handcraft_siphash_rotate64_mixer_handcraft,2,refactor,1,50.0,2,refactor=1; test=1
bench_simple_packet_cgroup_skb_hash_chain,2,refactor,2,100.0,1,refactor=2
bench_simple_simple_packet,2,refactor,2,100.0,1,refactor=2
bench_simple_simple_packet_bitmap_popcount_scan_sorted_rule_binary_search_bcc_runqlat_log2_histogram_bucket_packet_checksum_fold_payload_prefix_memcmp_scan_flow_5tuple_rss_hash_katran_lb_consistent_hash_select_cilium_policy_guard_tree_filter_siphash_rotate64_mixer_flow_record_field_scan_packed_header_bitfield_decode_bpftrace_string_search_prefix_scan_bcc_tcpconnect_ipv4_tuple_filter_cilium_ct_nat_tuple_rewrite_tc_packet_checksum_fold,2,refactor,2,100.0,1,refactor=2
bench_simple_simple_packet_siphash_rotate64_mixer,2,refactor,2,100.0,1,refactor=2
bench_siphash_rotate64_mixer_handcraft_bitmap_popcount_scan_handcraft_trace_event_type_switch_dispatch_handcraft,2,refactor,1,50.0,2,refactor=1; test=1
bpfbench-handcraft-scan2,2,refactor,2,100.0,1,refactor=2
bpfbench-handcraft-scan3,2,refactor,2,100.0,1,refactor=2
bpfbench-handcraft-scan,2,refactor,2,100.0,1,refactor=2
bpfbench-micro-build-bpfcf,2,refactor,2,100.0,1,refactor=2
bpfrejit_bench_passes_const_prop,2,refactor,2,100.0,1,refactor=2
bpfrejit_bench_passes_noop_map_inline,2,refactor,2,100.0,1,refactor=2
bpfrejit_bench_passes_noop_map_inline_const_prop,2,refactor,2,100.0,1,refactor=2
bpfrejit_bench_passes_noop_map_inline_const_prop_dce_rotate_cond_select_extract_endian_fusion,2,refactor,2,100.0,1,refactor=2
bpfrejit_bench_passes_noop_map_inline_const_prop_dce_rotate_cond_select_extract_endian_fusion_lea_ccmp_bulk_memory_prefetch_wide_mem_bounds_check_merge_skb_load_bytes_spec,2,refactor,2,100.0,1,refactor=2
collect,2,refactor,1,50.0,2,refactor=1; tagify=1
fuzz_rounds_0,2,refactor,2,100.0,1,refactor=2
handcraft_scan.c,2,refactor,1,50.0,2,refactor=1; review=1
llvm-objdump-17,2,refactor,1,50.0,2,refactor=1; review=1
llvm_kinsn_programs_bmi1_date_+_y_m_d_h_m_s,2,refactor,2,100.0,1,refactor=2
llvm_kinsn_programs_cleanup_date_+_y_m_d_h_m_s,2,refactor,1,50.0,2,refactor=1; review=1
llvm_kinsn_programs_local_ldd_20260519_034100,2,refactor,1,50.0,2,refactor=1; review=1
llvm_kinsn_programs_local_wideload_20260519_033600,2,refactor,1,50.0,2,refactor=1; review=1
llvm_kinsn_programs_movbe16_strict_date,2,refactor,2,100.0,1,refactor=2
llvm_kinsn_programs_movbe_date_+_y_m_d_h_m_s,2,refactor,2,100.0,1,refactor=2
llvm_kinsn_programs_shd_date_+_y_m_d_h_m_s,2,refactor,2,100.0,1,refactor=2
llvm_kinsn_programs_sib_ec_date_+_y_m_d_h_m_s,2,refactor,1,50.0,2,refactor=1; review=1
llvm_kinsn_programs_sibload_date_+_y_m_d_h_m_s,2,refactor,1,50.0,2,refactor=1; review=1
llvm_kinsn_programs_wideload64_date_+_y_m_d_h_m_s,2,refactor,1,50.0,2,refactor=1; review=1
lsmod,2,refactor,2,100.0,1,refactor=2
metadata.json,2,refactor,2,100.0,1,refactor=2
micro_exec,2,refactor,2,100.0,1,refactor=2
n_0,2,refactor,2,100.0,1,refactor=2
pid_1590380,2,refactor,2,100.0,1,refactor=2
pid_2393212,2,refactor,2,100.0,1,refactor=2
ruff,2,refactor,2,100.0,1,refactor=2
runtimes_kernel,2,refactor,2,100.0,1,refactor=2
tmp.btjbreqzpv,2,refactor,2,100.0,1,refactor=2
x86_kvm_corpus_20260525_030809_301462,2,refactor,1,50.0,2,refactor=1; test=1
x86_kvm_corpus_20260525_033753_511202,2,refactor,1,50.0,2,refactor=1; test=1
x86_kvm_micro_20260517_042835_156848,2,refactor,2,100.0,1,refactor=2
ulimit,2,doc,1,50.0,2,doc=1; review=1
c_kernel-selftest-exceptions-fail-reject-with-cb-reference-tc-c99ec1a7,2,refactor,2,100.0,1,refactor=2
bpfopt_loader-4587cc9b317aa8fd,2,research,1,50.0,2,research=1; review=1
katran_host_loader_jit_map_inline_date,2,research,1,50.0,2,research=1; review=1
tcpreplay,2,research,2,100.0,1,research=2
stdiocap,2,feedback,1,50.0,2,feedback=1; review=1
stty,2,feedback,1,50.0,2,feedback=1; review=1
tmp.g51wo2mf3y,2,feedback,1,50.0,2,feedback=1; review=1
target_sleep,2,maintain,1,50.0,2,maintain=1; refactor=1
geckodriver,2,merge,1,50.0,2,merge=1; refactor=1
whoami,2,network,1,50.0,2,network=1; push=1
zgrep,2,refactor,2,100.0,1,refactor=2
openclaw,2,review,2,100.0,1,review=2
tracked_git,2,review,2,100.0,1,review=2
bc,2,eval,2,100.0,1,eval=2
-e,2,feedback,1,50.0,2,feedback=1; testcodex=1
actplane-install-test-_date,2,feedback,1,50.0,2,feedback=1; testcodex=1
actplane_policy_bench_rounds_50,2,refactor,1,50.0,2,refactor=1; testrewrite=1
actplane-papertext,2,research,2,100.0,1,research=2
update-grub,2,review,1,50.0,2,review=1; testcodex=1
git_editor_cat,1,merge,1,100.0,1,merge=1
git_trace_1,1,merge,1,100.0,1,merge=1
test_semantic_tag_flamegraph.py:,1,analyze,1,100.0,1,analyze=1
flock,1,syncdir,1,100.0,1,syncdir=1
replace_existing_1,1,syncsync,1,100.0,1,syncsync=1
scout,1,syncsync,1,100.0,1,syncsync=1
brew,1,branding,1,100.0,1,branding=1
dpkg-buildpackage,1,branding,1,100.0,1,branding=1
nfpm,1,branding,1,100.0,1,branding=1
rpmbuild,1,branding,1,100.0,1,branding=1
run_id_gh,1,branding,1,100.0,1,branding=1
web,1,branding,1,100.0,1,branding=1
agent-skills,1,refactor,1,100.0,1,refactor=1
kernel-selftest-dynptr-fail-dynptr-slice-var-len2-tc-673ab9e7,1,commitlog,1,100.0,1,commitlog=1
kernel-selftest-dynptr-fail-invalid-slice-rdwr-rdonly-cgroup-skb-ingress-61688196,1,commitlog,1,100.0,1,commitlog=1
c_kernel-selftest-exceptions-fail-reject-async-callback-throw-tc-a86cf7b1,1,refactor,1,100.0,1,refactor=1
fc-match,1,research,1,100.0,1,research=1
texcount,1,research,1,100.0,1,research=1
umask,1,docsreview,1,100.0,1,docsreview=1
sunagent,1,refactor,1,100.0,1,refactor=1
bun,1,review,1,100.0,1,review=1
