rank,weight,share_pct,session,prompt,process,effect,stack,short_stack
113,168,0.091,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:vendor/bpf;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:vendor/bpf;status:ok
114,168,0.091,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:docs/micro-bench-status.md;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:docs/micro-bench-status.md;status:ok
115,166,0.09,refactor,review,rg,read,project:agentsight;agent:codex;session:refactor;prompt:review;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:review;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok
116,165,0.09,review,review,rg,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:collector/tests;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:collector/tests;status:ok
117,163,0.089,refactor,design,latest_ls,process,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:latest_ls;effect:process;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:latest_ls;effect:process;path:corpus/results;status:ok
118,161,0.088,refactor,review,sed,read,project:agentsight;agent:codex;session:refactor;prompt:review;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:review;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok
119,160,0.087,refactor,design,find,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:find;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:find;effect:read;path:corpus/results;status:ok
120,160,0.087,research,commitlog,sed,read,project:agentsight;agent:codex;session:research;prompt:commitlog;call:tool/shell;process:sed;effect:read;path:crates/bpfix;status:ok,agent:codex;session:research;prompt:commitlog;call:tool/shell;process:sed;effect:read;path:crates/bpfix;status:ok
121,159,0.087,refactor,refactor,ls,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:ls;effect:read;path:micro/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:ls;effect:read;path:micro/results;status:ok
122,159,0.087,refactor,refactor,nl,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:native-sim/x86;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:native-sim/x86;status:ok
123,158,0.086,refactor,refactor,git,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:native-sim/libnativeloader;status:ok
124,158,0.086,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:micro/driver.py;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:micro/driver.py;status:ok
125,158,0.086,refactor,review,sed,read,project:agentsight;agent:codex;session:refactor;prompt:review;call:tool/shell;process:sed;effect:read;path:vendor/linux-framework;status:ok,agent:codex;session:refactor;prompt:review;call:tool/shell;process:sed;effect:read;path:vendor/linux-framework;status:ok
126,158,0.086,review,refactor,rg,read,project:agentsight;agent:codex;session:review;prompt:refactor;call:tool/shell;process:rg;effect:read;path:.rs;status:ok,agent:codex;session:review;prompt:refactor;call:tool/shell;process:rg;effect:read;path:.rs;status:ok
127,157,0.085,refactor,refactor,git,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:runner/src;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:runner/src;status:ok
128,155,0.084,review,refactor,cargo,test,project:agentsight;agent:codex;session:review;prompt:refactor;call:tool/shell;process:cargo;effect:test;path:collector/cargo.toml;status:ok,agent:codex;session:review;prompt:refactor;call:tool/shell;process:cargo;effect:test;path:collector/cargo.toml;status:ok
129,155,0.084,review,review,nl,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:nl;effect:read;path:collector/src/view;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:nl;effect:read;path:collector/src/view;status:ok
130,152,0.083,review,review,gh,process,project:agentsight;agent:claude;session:review;prompt:review;call:tool/shell;process:gh;effect:process;path:eunomia-bpf/agentsight;status:ok,agent:claude;session:review;prompt:review;call:tool/shell;process:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
131,149,0.081,refactor,refactor,nl,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:vendor/linux-framework;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:vendor/linux-framework;status:ok
132,149,0.081,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:runner/libs;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:runner/libs;status:ok
133,148,0.081,design,review,make,test,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:make;effect:test;path:docs/paper;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:make;effect:test;path:docs/paper;status:ok
134,148,0.081,refactor,refactor,tail,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:tail;effect:read;path://tmp;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:tail;effect:read;path://tmp;status:ok
135,147,0.08,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/config;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/config;status:ok
136,146,0.079,research,commitlog,cargo,test,project:agentsight;agent:codex;session:research;prompt:commitlog;call:tool/shell;process:cargo;effect:test;status:ok,agent:codex;session:research;prompt:commitlog;call:tool/shell;process:cargo;effect:test;status:ok
137,145,0.079,review,commit,gh,process,project:agentsight;agent:claude;session:review;prompt:commit;call:tool/shell;process:gh;effect:process;status:ok,agent:claude;session:review;prompt:commit;call:tool/shell;process:gh;effect:process;status:ok
138,145,0.079,review,deployed,gh,process,project:agentsight;agent:claude;session:review;prompt:deployed;call:tool/shell;process:gh;effect:process;status:ok,agent:claude;session:review;prompt:deployed;call:tool/shell;process:gh;effect:process;status:ok
139,145,0.079,design,review,rg,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:docs/paper/sections;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:docs/paper/sections;status:ok
140,145,0.079,refactor,refactor,tool:plan,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/plan;effect:process;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/plan;effect:process;status:ok
141,145,0.079,review,review,rg,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:.rs;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:.rs;status:ok
142,143,0.078,refactor,benchmark,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/tool;effect:process;status:fail,agent:codex;session:refactor;prompt:benchmark;call:tool/tool;effect:process;status:fail
143,142,0.077,analyze,analyze,python3,process,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:python3;effect:process;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:python3;effect:process;status:ok
144,142,0.077,design,review,sed,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:docs/experiment-plans/osdi-evaluation.md;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:docs/experiment-plans/osdi-evaluation.md;status:ok
145,141,0.077,design,designcodex,cargo,test,project:agentsight;agent:codex;session:design;prompt:designcodex;call:tool/shell;process:cargo;effect:test;path:collector/cargo.toml;status:ok,agent:codex;session:design;prompt:designcodex;call:tool/shell;process:cargo;effect:test;path:collector/cargo.toml;status:ok
146,141,0.077,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:micro/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:micro/results;status:ok
147,141,0.077,research,refactor,nl,read,project:agentsight;agent:codex;session:research;prompt:refactor;call:tool/shell;process:nl;effect:read;path:crates/bpfix;status:ok,agent:codex;session:research;prompt:refactor;call:tool/shell;process:nl;effect:read;path:crates/bpfix;status:ok
148,139,0.076,design,review,rg,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:tests/w1_oracle;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:tests/w1_oracle;status:ok
149,139,0.076,review,refactor,rg,read,project:agentsight;agent:codex;session:review;prompt:refactor;call:tool/shell;process:rg;effect:read;path:collector/tests;status:ok,agent:codex;session:review;prompt:refactor;call:tool/shell;process:rg;effect:read;path:collector/tests;status:ok
150,138,0.075,refactor,refactor,tool:read,process,project:agentsight;agent:claude-subagent;session:refactor;prompt:refactor;call:tool/read;effect:process;path:collector/src/analyzers;status:ok,agent:claude-subagent;session:refactor;prompt:refactor;call:tool/read;effect:process;path:collector/src/analyzers;status:ok
151,138,0.075,refactor,design,rg,read,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:bpfopt/shim;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:rg;effect:read;path:bpfopt/shim;status:ok
152,138,0.075,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:vendor/bpf;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:vendor/bpf;status:ok
153,137,0.075,refactor,refactor,make,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:make;effect:process;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:make;effect:process;status:ok
154,136,0.074,analyze,analyze,df,process,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:df;effect:process;path:/;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:df;effect:process;path:/;status:ok
155,136,0.074,design,review,nl,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:nl;effect:read;path:docs/paper/sections;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:nl;effect:read;path:docs/paper/sections;status:ok
156,136,0.074,design,review,sed,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:docs/research_plan.md;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:docs/research_plan.md;status:ok
157,136,0.074,refactor,design,llvm-objdump-18,process,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:llvm-objdump-18;effect:process;path:vendor/build;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:llvm-objdump-18;effect:process;path:vendor/build;status:ok
158,136,0.074,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:micro/config;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:micro/config;status:ok
159,136,0.074,research,refactor,cargo,test,project:agentsight;agent:codex;session:research;prompt:refactor;call:tool/shell;process:cargo;effect:test;status:ok,agent:codex;session:research;prompt:refactor;call:tool/shell;process:cargo;effect:test;status:ok
160,134,0.073,refactor,review,rg,read,project:agentsight;agent:codex;session:refactor;prompt:review;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:review;call:tool/shell;process:rg;effect:read;path:native-sim/libnativeloader;status:ok
161,133,0.072,review,refactor,rg,read,project:agentsight;agent:codex;session:review;prompt:refactor;call:tool/shell;process:rg;effect:read;path:frontend/src;status:ok,agent:codex;session:review;prompt:refactor;call:tool/shell;process:rg;effect:read;path:frontend/src;status:ok
162,130,0.071,refactor,refactor,find,read,project:agentsight;agent:claude-subagent;session:refactor;prompt:refactor;call:tool/shell;process:find;effect:read;path:.rs;status:ok,agent:claude-subagent;session:refactor;prompt:refactor;call:tool/shell;process:find;effect:read;path:.rs;status:ok
163,130,0.071,design,review,sed,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:mk/report.mk;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:sed;effect:read;path:mk/report.mk;status:ok
164,129,0.07,refactor,refactor,python3,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:process;path:analysis/native_asm_to_handcraft_bpf_cf.py;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:process;path:analysis/native_asm_to_handcraft_bpf_cf.py;status:ok
165,129,0.07,refactor,validate,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:validate;call:tool/tool;effect:process;status:ok,agent:codex;session:refactor;prompt:validate;call:tool/tool;effect:process;status:ok
166,128,0.07,refactor,refactor,tool:read,process,project:agentsight;agent:claude-subagent;session:refactor;prompt:refactor;call:tool/read;effect:process;path:collector/src/view;status:ok,agent:claude-subagent;session:refactor;prompt:refactor;call:tool/read;effect:process;path:collector/src/view;status:ok
167,128,0.07,refactor,refactor,git,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:runner/include;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:runner/include;status:ok
168,128,0.07,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/libs;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/libs;status:ok
169,127,0.069,refactor,refactor,llvm-objdump,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:llvm-objdump;effect:process;path:micro/results;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:llvm-objdump;effect:process;path:micro/results;status:ok
170,127,0.069,refactor,refactor,python3,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:process;path:micro/programs;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:python3;effect:process;path:micro/programs;status:ok
171,126,0.069,review,review,sed,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:sed;effect:read;path:collector/src/view;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:sed;effect:read;path:collector/src/view;status:ok
172,125,0.068,refactor,refactor,git,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:micro/driver.py;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:micro/driver.py;status:ok
173,125,0.068,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:micro/config;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:micro/config;status:ok
174,125,0.068,review,review,rg,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:frontend/src;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:frontend/src;status:ok
175,124,0.067,design,refactor,tool:tool,process,project:agentsight;agent:codex;session:design;prompt:refactor;call:tool/tool;effect:process;status:ok,agent:codex;session:design;prompt:refactor;call:tool/tool;effect:process;status:ok
176,124,0.067,research,explain,cargo,test,project:agentsight;agent:codex;session:research;prompt:explain;call:tool/shell;process:cargo;effect:test;status:ok,agent:codex;session:research;prompt:explain;call:tool/shell;process:cargo;effect:test;status:ok
177,123,0.067,refactor,ignored,sed,read,project:agentsight;agent:codex;session:refactor;prompt:ignored;call:tool/shell;process:sed;effect:read;path:llvm-backend/llvm;status:ok,agent:codex;session:refactor;prompt:ignored;call:tool/shell;process:sed;effect:read;path:llvm-backend/llvm;status:ok
178,123,0.067,refactor,test,find,read,project:agentsight;agent:codex;session:refactor;prompt:test;call:tool/shell;process:find;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:test;call:tool/shell;process:find;effect:read;path:corpus/results;status:ok
179,122,0.066,design,review,rg,read,project:agentsight;agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:docs/paper/evaluation.md;status:ok,agent:codex;session:design;prompt:review;call:tool/shell;process:rg;effect:read;path:docs/paper/evaluation.md;status:ok
180,122,0.066,refactor,refactor,git,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:native-sim/x86;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:git;effect:read;path:native-sim/x86;status:ok
181,120,0.065,design,test,tool:tool,process,project:agentsight;agent:codex;session:design;prompt:test;call:tool/tool;effect:process;status:ok,agent:codex;session:design;prompt:test;call:tool/tool;effect:process;status:ok
182,120,0.065,review,test,git,read,project:agentsight;agent:codex;session:review;prompt:test;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:review;prompt:test;call:tool/shell;process:git;effect:read;status:ok
183,119,0.065,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/mk;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:runner/mk;status:ok
184,116,0.063,review,test,gh,process,project:agentsight;agent:claude;session:review;prompt:test;call:tool/shell;process:gh;effect:process;path:eunomia-bpf/agentsight;status:ok,agent:claude;session:review;prompt:test;call:tool/shell;process:gh;effect:process;path:eunomia-bpf/agentsight;status:ok
185,116,0.063,design,refactor,git,read,project:agentsight;agent:codex;session:design;prompt:refactor;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:design;prompt:refactor;call:tool/shell;process:git;effect:read;status:ok
186,116,0.063,refactor,benchmark,rg,read,project:agentsight;agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:benchmark;call:tool/shell;process:rg;effect:read;path:corpus/results;status:ok
187,116,0.063,refactor,design,ps,process,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/shell;process:ps;effect:process;status:ok,agent:codex;session:refactor;prompt:design;call:tool/shell;process:ps;effect:process;status:ok
188,116,0.063,review,review,rg,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:readme.md;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:readme.md;status:ok
189,114,0.062,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:.h;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:.h;status:ok
190,114,0.062,refactor,refactor,samples_1,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:samples_1;effect:process;status:observed,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:samples_1;effect:process;status:observed
191,114,0.062,refactor,test,jq,read,project:agentsight;agent:codex;session:refactor;prompt:test;call:tool/shell;process:jq;effect:read;path:corpus/results;status:ok,agent:codex;session:refactor;prompt:test;call:tool/shell;process:jq;effect:read;path:corpus/results;status:ok
192,114,0.062,review,review,rg,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:collector/src/view;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:collector/src/view;status:ok
193,114,0.062,review,review,tool:tool,process,project:agentsight;agent:codex;session:review;prompt:review;call:tool/tool;effect:process;status:ok,agent:codex;session:review;prompt:review;call:tool/tool;effect:process;status:ok
194,113,0.062,refactor,debug,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:debug;call:tool/tool;effect:process;status:ok,agent:codex;session:refactor;prompt:debug;call:tool/tool;effect:process;status:ok
195,113,0.062,review,review,rg,read,project:agentsight;agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:collector/src/framework;status:ok,agent:codex;session:review;prompt:review;call:tool/shell;process:rg;effect:read;path:collector/src/framework;status:ok
196,111,0.06,refactor,refactor,nl,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:bpfopt/shim;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:nl;effect:read;path:bpfopt/shim;status:ok
197,110,0.06,design,refactor,rg,read,project:agentsight;agent:codex;session:design;prompt:refactor;call:tool/shell;process:rg;effect:read;path:collector/src;status:ok,agent:codex;session:design;prompt:refactor;call:tool/shell;process:rg;effect:read;path:collector/src;status:ok
198,109,0.059,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:.c;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:.c;status:ok
199,109,0.059,refactor,review,python3,process,project:agentsight;agent:codex;session:refactor;prompt:review;call:tool/shell;process:python3;effect:process;status:ok,agent:codex;session:refactor;prompt:review;call:tool/shell;process:python3;effect:process;status:ok
200,109,0.059,research,commitlog,git,read,project:agentsight;agent:codex;session:research;prompt:commitlog;call:tool/shell;process:git;effect:read;status:ok,agent:codex;session:research;prompt:commitlog;call:tool/shell;process:git;effect:read;status:ok
