task,dataset,query_family,view,max_depth,ranker,uses_hidden_fields,operations,positives,prevalence,groups,positive_groups,average_precision,ndcg,top5_precision,top5_recall,top5_f1,top5_work,budget30_recall,budget30_f1,budget30_work,work_to_first_positive,groups_to_50pct_recall,work_to_50pct_recall
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_4,4,width,False,729,202,0.27709190672153633,15,2,0.6036213210362132,0.8779772706664527,0.43162393162393164,1.0,0.6029850746268657,0.6419753086419753,0.3564356435643564,0.3469879518072289,0.29218106995884774,0.2222222222222222,2,0.40054869684499317
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_4,4,visible_risk,False,729,202,0.27709190672153633,15,2,0.2913809518766637,0.36202370835485315,0.2801556420233463,0.3564356435643564,0.3137254901960784,0.35253772290809327,0.0,0.0,0.2935528120713306,0.3113854595336077,15,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_4,4,query_aware,False,729,202,0.27709190672153633,15,2,0.41094171837835497,0.4227420001211896,0.2589928057553957,0.3564356435643564,0.29999999999999993,0.3813443072702332,0.0,0.0,0.28669410150891633,0.3813443072702332,6,0.5596707818930041
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_4,4,oracle_upper_bound,True,729,202,0.27709190672153633,15,2,0.890139698901397,1.0,0.506265664160401,1.0,0.6722129783693844,0.5473251028806584,0.6435643564356436,0.6295399515738499,0.289437585733882,0.17832647462277093,1,0.17832647462277093
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_5,5,width,False,729,202,0.27709190672153633,28,3,0.5599156440740599,0.801988472817041,0.4580152671755725,0.8910891089108911,0.6050420168067228,0.5390946502057613,0.24752475247524752,0.2386634844868735,0.29766803840877915,0.19204389574759945,2,0.37037037037037035
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_5,5,visible_risk,False,729,202,0.27709190672153633,28,3,0.3002736281455934,0.2894685778087303,0.0,0.0,0.0,0.07544581618655692,0.10891089108910891,0.10576923076923077,0.2935528120713306,0.1056241426611797,25,0.9012345679012346
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_5,5,query_aware,False,729,202,0.27709190672153633,28,3,0.39613201643557505,0.3246564760665977,0.0,0.0,0.0,0.07544581618655692,0.10891089108910891,0.10476190476190476,0.299039780521262,0.13580246913580246,12,0.5747599451303155
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_depth_5,5,oracle_upper_bound,True,729,202,0.27709190672153633,28,3,0.9237081242370813,0.9787533600403964,0.645367412140575,1.0,0.7844660194174757,0.42935528120713307,0.7524752475247525,0.7290167865707435,0.29492455418381347,0.17832647462277093,1,0.17832647462277093
satraj_unsafe,satraj-os-safety,safety,induced_depth_1,1,width,False,4285,622,0.14515752625437572,2,1,0.22471098265895953,1.0,0.14515752625437572,1.0,0.25351538618300384,1.0,0.0,0.0,0.0,0.6459743290548424,1,0.6459743290548424
satraj_unsafe,satraj-os-safety,safety,induced_depth_1,1,visible_risk,False,4285,622,0.14515752625437572,2,1,0.14515752625437572,0.6309297535714575,0.14515752625437572,1.0,0.25351538618300384,1.0,0.0,0.0,0.0,1.0,2,1.0
satraj_unsafe,satraj-os-safety,safety,induced_depth_1,1,query_aware,False,4285,622,0.14515752625437572,2,1,0.14515752625437572,0.6309297535714575,0.14515752625437572,1.0,0.25351538618300384,1.0,0.0,0.0,0.0,1.0,2,1.0
satraj_unsafe,satraj-os-safety,safety,induced_depth_1,1,oracle_upper_bound,True,4285,622,0.14515752625437572,2,1,0.22471098265895953,1.0,0.14515752625437572,1.0,0.25351538618300384,1.0,0.0,0.0,0.0,0.6459743290548424,1,0.6459743290548424
satraj_unsafe,satraj-os-safety,safety,induced_depth_2,2,width,False,4285,622,0.14515752625437572,4,2,0.19293474640472366,0.9367533550776995,0.14515752625437572,1.0,0.25351538618300384,1.0,0.409967845659164,0.2802197802197802,0.27957992998833137,0.38133022170361724,1,0.38133022170361724
satraj_unsafe,satraj-os-safety,safety,induced_depth_2,2,visible_risk,False,4285,622,0.14515752625437572,4,2,0.12823153071041712,0.5556539067594386,0.14515752625437572,1.0,0.25351538618300384,1.0,0.409967845659164,0.2802197802197802,0.27957992998833137,0.7353558926487748,3,0.7353558926487748
satraj_unsafe,satraj-os-safety,safety,induced_depth_2,2,query_aware,False,4285,622,0.14515752625437572,4,2,0.13055858048478122,0.6801667028680461,0.14515752625437572,1.0,0.25351538618300384,1.0,0.409967845659164,0.2802197802197802,0.27957992998833137,0.7204200700116686,2,0.7204200700116686
satraj_unsafe,satraj-os-safety,safety,induced_depth_2,2,oracle_upper_bound,True,4285,622,0.14515752625437572,4,2,0.224646799270042,1.0,0.14515752625437572,1.0,0.25351538618300384,1.0,0.409967845659164,0.2802197802197802,0.27957992998833137,0.38133022170361724,1,0.38133022170361724
satraj_unsafe,satraj-os-safety,safety,induced_depth_3,3,width,False,4285,622,0.14515752625437572,7,4,0.1753869473923852,0.9204152334370149,0.1495551815340226,1.0,0.260196611587534,0.9705950991831972,0.47266881028938906,0.31177094379639453,0.29498249708284713,0.36149358226371064,1,0.36149358226371064
satraj_unsafe,satraj-os-safety,safety,induced_depth_3,3,visible_risk,False,4285,622,0.14515752625437572,7,4,0.1183719235939899,0.46312732187241795,0.11647096159949223,0.590032154340836,0.1945401537238272,0.7353558926487748,0.16881028938906753,0.12062033314187248,0.26114352392065343,0.3738623103850642,5,0.7353558926487748
satraj_unsafe,satraj-os-safety,safety,induced_depth_3,3,query_aware,False,4285,622,0.14515752625437572,7,4,0.4058315240154324,0.761259134368333,0.16686674669867949,0.8938906752411575,0.2812341932220537,0.7775962660443407,0.3665594855305466,0.43059490084985835,0.10198366394399067,0.05274212368728121,4,0.7586931155192532
satraj_unsafe,satraj-os-safety,safety,induced_depth_3,3,oracle_upper_bound,True,4285,622,0.14515752625437572,7,4,0.45029306453923074,0.8930221480182997,0.22111624600071098,1.0,0.36215429403202326,0.6564760793465577,0.47266881028938906,0.31177094379639453,0.29498249708284713,0.05274212368728121,2,0.41423570595099185
satraj_unsafe,satraj-os-safety,safety,induced_depth_4,4,width,False,4285,622,0.14515752625437572,12,7,0.10408796414166445,0.532269483881899,0.11989730423620025,0.7508038585209004,0.20677440779278283,0.9089848308051341,0.409967845659164,0.2695560253699789,0.29638273045507585,0.5183197199533256,4,0.8798133022170361
satraj_unsafe,satraj-os-safety,safety,induced_depth_4,4,visible_risk,False,4285,622,0.14515752625437572,12,7,0.10015302953303235,0.4088318064648947,0.03580562659846547,0.13504823151125403,0.056603773584905655,0.5474912485414236,0.41639871382636656,0.2762666666666667,0.29241540256709453,0.5239206534422404,9,0.9498249708284714
satraj_unsafe,satraj-os-safety,safety,induced_depth_4,4,query_aware,False,4285,622,0.14515752625437572,12,7,0.4268018402882712,0.5251726894389452,0.7707182320441989,0.44855305466237944,0.5670731707317074,0.08448074679113185,0.9453376205787781,0.6215644820295982,0.29638273045507585,0.02263710618436406,7,0.5829638273045508
satraj_unsafe,satraj-os-safety,safety,induced_depth_4,4,oracle_upper_bound,True,4285,622,0.14515752625437572,12,7,0.6768691505766308,0.7377359121606072,0.5404411764705882,0.9453376205787781,0.687719298245614,0.25390898483080515,0.9453376205787781,0.6215644820295982,0.29638273045507585,0.029171528588098017,4,0.23033838973162193
