task,dataset,query_family,view,ranker,uses_hidden_fields,operations,positives,prevalence,groups,positive_groups,average_precision,ndcg,top1_precision,top1_recall,top1_f1,top1_work,top3_precision,top3_recall,top3_f1,top3_work,top5_precision,top5_recall,top5_f1,top5_work,budget30_recall,budget30_f1,budget30_work,work_to_first_positive,work_to_first_high_lift,groups_to_50pct_recall,work_to_50pct_recall
agentnet_incorrect_step,agentnet,step-quality,label_drilldown,query_aware,True,14718,874,0.0594,287,83,0.0985,0.3893,1.0,0.0023,0.0046,0.0001,0.7647,0.0149,0.0292,0.0012,0.0703,0.0149,0.0246,0.0126,0.3604,0.1191,0.3,0.0001,0.0001,157,0.3639
agentnet_incorrect_step,agentnet,step-quality,label_drilldown,oracle_upper_bound,True,14718,874,0.0594,287,83,1.0,1.0,1.0,0.127,0.2254,0.0075,1.0,0.2563,0.408,0.0152,1.0,0.3684,0.5385,0.0219,1.0,0.3305,0.3,0.0075,0.0075,8,0.0309
agentnet_redundant_step,agentnet,step-quality,flat,width,False,10067,733,0.0728,1,1,0.0728,1.0,0.0728,1.0,0.1357,1.0,0.0728,1.0,0.1357,1.0,0.0728,1.0,0.1357,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentnet_redundant_step,agentnet,step-quality,flat,visible_risk,False,10067,733,0.0728,1,1,0.0728,1.0,0.0728,1.0,0.1357,1.0,0.0728,1.0,0.1357,1.0,0.0728,1.0,0.1357,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentnet_redundant_step,agentnet,step-quality,flat,query_aware,False,10067,733,0.0728,1,1,0.0728,1.0,0.0728,1.0,0.1357,1.0,0.0728,1.0,0.1357,1.0,0.0728,1.0,0.1357,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentnet_redundant_step,agentnet,step-quality,flat,oracle_upper_bound,True,10067,733,0.0728,1,1,0.0728,1.0,0.0728,1.0,0.1357,1.0,0.0728,1.0,0.1357,1.0,0.0728,1.0,0.1357,1.0,0.0,0.0,0.0,1.0,,1,1.0
agentnet_redundant_step,agentnet,step-quality,fixed_session,width,False,10067,733,0.0728,549,438,0.0704,0.8984,0.1163,0.0068,0.0129,0.0043,0.0952,0.0164,0.0279,0.0125,0.0728,0.0205,0.0319,0.0205,0.2742,0.1071,0.3,0.0043,0.0043,211,0.5242
agentnet_redundant_step,agentnet,step-quality,fixed_session,visible_risk,False,10067,733,0.0728,549,438,0.0804,0.8099,0.0,0.0,0.0,0.0011,0.1522,0.0095,0.018,0.0046,0.1341,0.015,0.027,0.0081,0.3302,0.129,0.3,0.0032,0.0032,265,0.4622
agentnet_redundant_step,agentnet,step-quality,fixed_session,query_aware,False,10067,733,0.0728,549,438,0.0788,0.8341,0.0769,0.0014,0.0027,0.0013,0.1163,0.0068,0.0129,0.0043,0.1034,0.0123,0.022,0.0086,0.3302,0.129,0.3,0.0013,0.0027,272,0.4753
agentnet_redundant_step,agentnet,step-quality,fixed_session,oracle_upper_bound,True,10067,733,0.0728,549,438,0.1479,0.9533,0.3077,0.0055,0.0107,0.0013,0.2727,0.0123,0.0235,0.0033,0.2468,0.0259,0.0469,0.0076,0.5525,0.2158,0.3,0.0013,0.0013,144,0.2615
agentnet_redundant_step,agentnet,step-quality,dataset_native,width,False,10067,733,0.0728,57,46,0.07,0.9907,0.0589,0.0805,0.068,0.0995,0.0691,0.2183,0.1049,0.2302,0.0687,0.3261,0.1135,0.3456,0.2851,0.1114,0.2998,0.0995,0.7185,9,0.5514
agentnet_redundant_step,agentnet,step-quality,dataset_native,visible_risk,False,10067,733,0.0728,57,46,0.0768,0.5722,0.0,0.0,0.0,0.001,0.0886,0.0382,0.0534,0.0314,0.0706,0.0409,0.0518,0.0422,0.3342,0.1309,0.299,0.0028,0.072,29,0.5402
agentnet_redundant_step,agentnet,step-quality,dataset_native,query_aware,False,10067,733,0.0728,57,46,0.0772,0.6261,0.0625,0.0014,0.0027,0.0016,0.0526,0.0027,0.0052,0.0038,0.0847,0.0423,0.0564,0.0364,0.3302,0.1291,0.2996,0.0016,0.178,21,0.5108
agentnet_redundant_step,agentnet,step-quality,dataset_native,oracle_upper_bound,True,10067,733,0.0728,57,46,0.0905,0.8293,0.1429,0.0423,0.0653,0.0216,0.1289,0.09,0.106,0.0509,0.0966,0.2333,0.1366,0.1759,0.3943,0.154,0.3,0.0216,0.0216,12,0.4398
agentnet_redundant_step,agentnet,step-quality,raw_action_stack,width,False,10067,733,0.0728,25,13,0.0846,0.9877,0.0858,0.6958,0.1527,0.5905,0.0834,0.8336,0.1516,0.7277,0.0773,0.869,0.1419,0.8188,0.2442,0.0954,0.3,0.5905,0.9862,1,0.5905
agentnet_redundant_step,agentnet,step-quality,raw_action_stack,visible_risk,False,10067,733,0.0728,25,13,0.0772,0.3085,0.0,0.0,0.0,0.0015,0.082,0.0136,0.0234,0.0121,0.0554,0.0368,0.0443,0.0484,0.2647,0.1039,0.2983,0.006,0.006,19,0.9495
agentnet_redundant_step,agentnet,step-quality,raw_action_stack,query_aware,False,10067,733,0.0728,25,13,0.0817,0.3405,0.0,0.0,0.0,0.0015,0.0447,0.0232,0.0305,0.0377,0.0759,0.0859,0.0806,0.0824,0.2619,0.1033,0.2965,0.0377,0.0422,12,0.8278
agentnet_redundant_step,agentnet,step-quality,raw_action_stack,oracle_upper_bound,True,10067,733,0.0728,25,13,0.0864,0.9881,0.0858,0.6958,0.1527,0.5905,0.089,0.8295,0.1607,0.679,0.0898,0.8922,0.1631,0.7237,0.292,0.1143,0.299,0.5905,0.679,1,0.5905
agentnet_redundant_step,agentnet,step-quality,operation_stack,width,False,10067,733,0.0728,260,93,0.0863,0.9778,0.1006,0.131,0.1138,0.0948,0.0864,0.2824,0.1323,0.2381,0.0812,0.3588,0.1325,0.3215,0.3438,0.1343,0.3,0.0948,0.4269,8,0.4269
agentnet_redundant_step,agentnet,step-quality,operation_stack,visible_risk,False,10067,733,0.0728,260,93,0.0854,0.3459,0.0,0.0,0.0,0.0005,0.0909,0.0014,0.0027,0.0011,0.125,0.0055,0.0105,0.0032,0.322,0.1258,0.3,0.0011,0.0011,153,0.4324
agentnet_redundant_step,agentnet,step-quality,operation_stack,query_aware,False,10067,733,0.0728,260,93,0.0875,0.4055,0.1373,0.0095,0.0179,0.0051,0.1447,0.015,0.0272,0.0075,0.1444,0.0177,0.0316,0.0089,0.3533,0.138,0.3,0.0051,0.0051,157,0.4943
agentnet_redundant_step,agentnet,step-quality,operation_stack,oracle_upper_bound,True,10067,733,0.0728,260,93,0.1486,0.5304,0.6667,0.0055,0.0108,0.0006,0.5833,0.0095,0.0188,0.0012,0.4516,0.0573,0.1017,0.0092,0.5157,0.2014,0.3,0.0006,0.0006,31,0.293
agentnet_redundant_step,agentnet,step-quality,label_drilldown,width,True,10067,733,0.0728,253,77,0.0447,0.403,0.0,0.0,0.0,0.0875,0.0,0.0,0.0,0.2198,0.0,0.0,0.0,0.3048,0.0,0.0,0.3,0.605,0.605,58,0.8058
agentnet_redundant_step,agentnet,step-quality,label_drilldown,visible_risk,True,10067,733,0.0728,253,77,0.0891,0.3543,0.0,0.0,0.0,0.0003,0.0714,0.0027,0.0053,0.0028,0.1875,0.0082,0.0157,0.0032,0.4284,0.1673,0.3,0.0005,0.0005,167,0.4912
agentnet_redundant_step,agentnet,step-quality,label_drilldown,query_aware,True,10067,733,0.0728,253,77,0.1615,0.4241,0.0,0.0,0.0,0.0004,0.2222,0.0027,0.0054,0.0009,0.8871,0.075,0.1384,0.0062,0.3042,0.1188,0.3,0.0009,0.0009,123,0.4649
agentnet_redundant_step,agentnet,step-quality,label_drilldown,oracle_upper_bound,True,10067,733,0.0728,253,77,1.0,1.0,1.0,0.1392,0.2443,0.0101,1.0,0.2906,0.4503,0.0212,1.0,0.4065,0.5781,0.0296,1.0,0.3906,0.3,0.0101,0.0101,7,0.0371
osworld_group_start,osworld-human,human-boundary,flat,width,False,4011,764,0.1905,1,1,0.1905,1.0,0.1905,1.0,0.32,1.0,0.1905,1.0,0.32,1.0,0.1905,1.0,0.32,1.0,0.0,0.0,0.0,1.0,,1,1.0
osworld_group_start,osworld-human,human-boundary,flat,visible_risk,False,4011,764,0.1905,1,1,0.1905,1.0,0.1905,1.0,0.32,1.0,0.1905,1.0,0.32,1.0,0.1905,1.0,0.32,1.0,0.0,0.0,0.0,1.0,,1,1.0
osworld_group_start,osworld-human,human-boundary,flat,query_aware,False,4011,764,0.1905,1,1,0.1905,1.0,0.1905,1.0,0.32,1.0,0.1905,1.0,0.32,1.0,0.1905,1.0,0.32,1.0,0.0,0.0,0.0,1.0,,1,1.0
osworld_group_start,osworld-human,human-boundary,flat,oracle_upper_bound,True,4011,764,0.1905,1,1,0.1905,1.0,0.1905,1.0,0.32,1.0,0.1905,1.0,0.32,1.0,0.1905,1.0,0.32,1.0,0.0,0.0,0.0,1.0,,1,1.0
osworld_group_start,osworld-human,human-boundary,fixed_session,width,False,4011,764,0.1905,320,244,0.1956,0.9379,0.2863,0.0955,0.1433,0.0636,0.1994,0.1806,0.1896,0.1725,0.1863,0.2421,0.2106,0.2476,0.2906,0.2257,0.2999,0.0636,0.0636,33,0.5355
osworld_group_start,osworld-human,human-boundary,fixed_session,visible_risk,False,4011,764,0.1905,320,244,0.2196,0.5928,0.125,0.0026,0.0051,0.004,0.3404,0.0209,0.0395,0.0117,0.3768,0.034,0.0624,0.0172,0.3246,0.2522,0.2999,0.004,0.009,58,0.5153
osworld_group_start,osworld-human,human-boundary,fixed_session,query_aware,False,4011,764,0.1905,320,244,0.2345,0.5246,0.45,0.0118,0.023,0.005,0.3404,0.0209,0.0395,0.0117,0.3768,0.034,0.0624,0.0172,0.3508,0.2725,0.2999,0.005,0.005,107,0.4894
osworld_group_start,osworld-human,human-boundary,fixed_session,oracle_upper_bound,True,4011,764,0.1905,320,244,0.3245,0.5086,0.5,0.0026,0.0052,0.001,0.5,0.0065,0.0129,0.0025,0.5,0.0092,0.018,0.0035,0.5013,0.3894,0.2999,0.001,0.001,80,0.3007
osworld_group_start,osworld-human,human-boundary,dataset_native,width,False,4011,764,0.1905,10,10,0.1955,0.9998,0.1975,0.6283,0.3006,0.6058,0.1953,0.822,0.3157,0.8015,0.1893,0.8966,0.3126,0.9023,0.2683,0.2099,0.2964,0.6058,,1,0.6058
osworld_group_start,osworld-human,human-boundary,dataset_native,visible_risk,False,4011,764,0.1905,10,10,0.1957,0.9595,0.1975,0.6283,0.3006,0.6058,0.1997,0.6793,0.3087,0.648,0.192,0.8089,0.3104,0.8023,0.2618,0.205,0.2959,0.6058,,1,0.6058
osworld_group_start,osworld-human,human-boundary,dataset_native,query_aware,False,4011,764,0.1905,10,10,0.1977,0.6776,0.2432,0.0236,0.043,0.0184,0.199,0.6728,0.3071,0.644,0.1973,0.733,0.3109,0.7078,0.2618,0.205,0.2959,0.0184,,2,0.6243
osworld_group_start,osworld-human,human-boundary,dataset_native,oracle_upper_bound,True,4011,764,0.1905,10,10,0.1976,0.9859,0.1975,0.6283,0.3006,0.6058,0.202,0.7487,0.3182,0.7058,0.1971,0.873,0.3216,0.8437,0.2971,0.2339,0.2934,0.6058,,1,0.6058
osworld_group_start,osworld-human,human-boundary,raw_action_stack,width,False,4011,764,0.1905,27,15,0.2198,0.9828,0.2197,0.3914,0.2814,0.3393,0.1976,0.7225,0.3103,0.6966,0.1852,0.8639,0.305,0.8886,0.4005,0.3111,0.2999,0.3393,0.5241,2,0.5241
osworld_group_start,osworld-human,human-boundary,raw_action_stack,visible_risk,False,4011,764,0.1905,27,15,0.178,0.6122,0.1646,0.1401,0.1513,0.1621,0.1728,0.4712,0.2529,0.5193,0.1725,0.4725,0.2527,0.5218,0.2775,0.2173,0.2959,0.1621,0.5193,17,0.8801
osworld_group_start,osworld-human,human-boundary,raw_action_stack,query_aware,False,4011,764,0.1905,27,15,0.2214,0.7821,0.3036,0.2945,0.299,0.1847,0.1728,0.4712,0.2529,0.5193,0.1725,0.4725,0.2527,0.5218,0.4149,0.3223,0.2999,0.1847,0.1847,7,0.8616
osworld_group_start,osworld-human,human-boundary,raw_action_stack,oracle_upper_bound,True,4011,764,0.1905,27,15,0.2813,0.537,1.0,0.0026,0.0052,0.0005,0.5946,0.0288,0.0549,0.0092,0.2553,0.7147,0.3762,0.5333,0.4306,0.3371,0.2962,0.0005,0.0005,5,0.5333
osworld_group_start,osworld-human,human-boundary,operation_stack,width,False,4011,764,0.1905,173,74,0.2217,0.9175,0.2228,0.1558,0.1834,0.1331,0.2099,0.4332,0.2828,0.3932,0.1984,0.5903,0.297,0.5667,0.4241,0.3294,0.2999,0.1331,0.2643,4,0.5213
osworld_group_start,osworld-human,human-boundary,operation_stack,visible_risk,False,4011,764,0.1905,173,74,0.222,0.4852,0.0,0.0,0.0,0.0027,0.1,0.0026,0.0051,0.005,0.2013,0.2801,0.2343,0.265,0.2971,0.2308,0.2999,0.0045,0.0045,70,0.6624
osworld_group_start,osworld-human,human-boundary,operation_stack,query_aware,False,4011,764,0.1905,173,74,0.2254,0.7954,0.3498,0.2408,0.2853,0.1311,0.1856,0.3783,0.249,0.3882,0.1812,0.3874,0.2469,0.4074,0.2971,0.2308,0.2999,0.1311,0.1311,62,0.6554
osworld_group_start,osworld-human,human-boundary,operation_stack,oracle_upper_bound,True,4011,764,0.1905,173,74,0.3898,0.3893,1.0,0.0079,0.0156,0.0015,1.0,0.0157,0.0309,0.003,1.0,0.0209,0.041,0.004,0.5628,0.4372,0.2999,0.0015,0.0015,35,0.3184
osworld_group_start,osworld-human,human-boundary,label_drilldown,width,True,4011,764,0.1905,65,21,0.1364,0.4551,0.0,0.0,0.0,0.2074,0.0,0.0,0.0,0.4089,0.0,0.0,0.0,0.5383,0.0,0.0,0.2999,0.646,0.646,9,0.7477
osworld_group_start,osworld-human,human-boundary,label_drilldown,visible_risk,True,4011,764,0.1905,65,21,0.2204,0.455,1.0,0.0366,0.0707,0.007,0.049,0.0366,0.0419,0.1424,0.0511,0.0707,0.0593,0.2633,0.2199,0.1708,0.2999,0.007,0.007,24,0.5413
osworld_group_start,osworld-human,human-boundary,label_drilldown,query_aware,True,4011,764,0.1905,65,21,0.1563,0.4484,0.0,0.0,0.0,0.1144,0.0,0.0,0.0,0.268,0.0,0.0,0.0,0.3827,0.1427,0.1108,0.2999,0.4326,0.4326,17,0.8374
osworld_group_start,osworld-human,human-boundary,label_drilldown,oracle_upper_bound,True,4011,764,0.1905,65,21,1.0,1.0,1.0,0.2762,0.4328,0.0526,1.0,0.6414,0.7815,0.1222,1.0,0.7827,0.8781,0.1491,1.0,0.7768,0.2999,0.0526,0.0526,2,0.1025
