task,dataset,baseline,metric,metric_family,direction,operation_stack_query_aware,baseline_value,delta_default_minus_baseline,advantage,result
satraj_unsafe,satraj-os-safety,raw_action_query_aware,budget30_recall,recall@30% work,higher,0.8376,0.5209,0.3167,0.3167,win
agentnet_incorrect_step,agentnet,raw_action_query_aware,budget30_f1,F1@30% work,higher,0.1448,0.0959,0.0489,0.0489,win
agentnet_redundant_step,agentnet,raw_action_query_aware,budget30_f1,F1@30% work,higher,0.138,0.1033,0.0347,0.0347,win
agentreward_looping,agent-reward-bench,raw_action_query_aware,budget30_f1,F1@30% work,higher,0.5568,0.3031,0.2537,0.2537,win
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,budget30_f1,F1@30% work,higher,0.3667,0.3684,-0.0017,-0.0017,loss
osworld_group_start,osworld-human,raw_action_query_aware,budget30_f1,F1@30% work,higher,0.2308,0.3223,-0.0915,-0.0915,loss
satraj_unsafe,satraj-os-safety,raw_action_query_aware,budget30_f1,F1@30% work,higher,0.5464,0.3398,0.2066,0.2066,win
agentnet_incorrect_step,agentnet,raw_action_query_aware,top5_work,top-5 inspected work,lower,0.0014,0.013,-0.0116,0.0116,win
agentnet_redundant_step,agentnet,raw_action_query_aware,top5_work,top-5 inspected work,lower,0.0089,0.0824,-0.0735,0.0735,win
agentreward_looping,agent-reward-bench,raw_action_query_aware,top5_work,top-5 inspected work,lower,0.4938,0.1043,0.3895,-0.3895,loss
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,top5_work,top-5 inspected work,lower,0.1454,0.2401,-0.0947,0.0947,win
osworld_group_start,osworld-human,raw_action_query_aware,top5_work,top-5 inspected work,lower,0.4074,0.5218,-0.1144,0.1144,win
satraj_unsafe,satraj-os-safety,raw_action_query_aware,top5_work,top-5 inspected work,lower,0.042,0.1972,-0.1552,0.1552,win
agentnet_incorrect_step,agentnet,raw_action_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0007,0.0041,-0.0034,0.0034,win
agentnet_redundant_step,agentnet,raw_action_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0051,0.0377,-0.0326,0.0326,win
agentreward_looping,agent-reward-bench,raw_action_query_aware,work_to_first_positive,work-to-first-positive,lower,0.2058,0.037,0.1688,-0.1688,loss
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0645,0.1495,-0.085,0.085,win
osworld_group_start,osworld-human,raw_action_query_aware,work_to_first_positive,work-to-first-positive,lower,0.1311,0.1847,-0.0536,0.0536,win
satraj_unsafe,satraj-os-safety,raw_action_query_aware,work_to_first_positive,work-to-first-positive,lower,0.0112,0.0285,-0.0173,0.0173,win
agentnet_incorrect_step,agentnet,raw_action_query_aware,groups,group fragmentation,lower,289.0,25.0,264.0,-264.0,loss
agentnet_redundant_step,agentnet,raw_action_query_aware,groups,group fragmentation,lower,260.0,25.0,235.0,-235.0,loss
agentreward_looping,agent-reward-bench,raw_action_query_aware,groups,group fragmentation,lower,40.0,14.0,26.0,-26.0,loss
agentreward_side_effect,agent-reward-bench,raw_action_query_aware,groups,group fragmentation,lower,40.0,14.0,26.0,-26.0,loss
osworld_group_start,osworld-human,raw_action_query_aware,groups,group fragmentation,lower,173.0,27.0,146.0,-146.0,loss
satraj_unsafe,satraj-os-safety,raw_action_query_aware,groups,group fragmentation,lower,142.0,24.0,118.0,-118.0,loss
agentnet_incorrect_step,agentnet,operation_stack_width,average_precision,AP/AUPRC-style ranking,higher,0.0886,0.0687,0.0199,0.0199,win
agentnet_redundant_step,agentnet,operation_stack_width,average_precision,AP/AUPRC-style ranking,higher,0.0875,0.0863,0.0012,0.0012,win
agentreward_looping,agent-reward-bench,operation_stack_width,average_precision,AP/AUPRC-style ranking,higher,0.8808,0.7653,0.1155,0.1155,win
agentreward_side_effect,agent-reward-bench,operation_stack_width,average_precision,AP/AUPRC-style ranking,higher,0.3979,0.3661,0.0318,0.0318,win
osworld_group_start,osworld-human,operation_stack_width,average_precision,AP/AUPRC-style ranking,higher,0.2254,0.2217,0.0037,0.0037,win
satraj_unsafe,satraj-os-safety,operation_stack_width,average_precision,AP/AUPRC-style ranking,higher,0.4875,0.1003,0.3872,0.3872,win
agentnet_incorrect_step,agentnet,operation_stack_width,ndcg,nDCG,higher,0.3594,0.9578,-0.5984,-0.5984,loss
agentnet_redundant_step,agentnet,operation_stack_width,ndcg,nDCG,higher,0.4055,0.9778,-0.5723,-0.5723,loss
agentreward_looping,agent-reward-bench,operation_stack_width,ndcg,nDCG,higher,0.9687,0.9553,0.0134,0.0134,win
agentreward_side_effect,agent-reward-bench,operation_stack_width,ndcg,nDCG,higher,0.4445,0.8264,-0.3819,-0.3819,loss
osworld_group_start,osworld-human,operation_stack_width,ndcg,nDCG,higher,0.7954,0.9175,-0.1221,-0.1221,loss
satraj_unsafe,satraj-os-safety,operation_stack_width,ndcg,nDCG,higher,0.653,0.5007,0.1523,0.1523,win
agentnet_incorrect_step,agentnet,operation_stack_width,top5_precision,precision@5,higher,0.1429,0.0658,0.0771,0.0771,win
agentnet_redundant_step,agentnet,operation_stack_width,top5_precision,precision@5,higher,0.1444,0.0812,0.0632,0.0632,win
agentreward_looping,agent-reward-bench,operation_stack_width,top5_precision,precision@5,higher,0.9111,0.7162,0.1949,0.1949,win
agentreward_side_effect,agent-reward-bench,operation_stack_width,top5_precision,precision@5,higher,0.217,0.2926,-0.0756,-0.0756,loss
osworld_group_start,osworld-human,operation_stack_width,top5_precision,precision@5,higher,0.1812,0.1984,-0.0172,-0.0172,loss
satraj_unsafe,satraj-os-safety,operation_stack_width,top5_precision,precision@5,higher,0.9056,0.0,0.9056,0.9056,win
agentnet_incorrect_step,agentnet,operation_stack_width,top5_recall,recall@5,higher,0.0034,0.3284,-0.325,-0.325,loss
agentnet_redundant_step,agentnet,operation_stack_width,top5_recall,recall@5,higher,0.0177,0.3588,-0.3411,-0.3411,loss
agentreward_looping,agent-reward-bench,operation_stack_width,top5_recall,recall@5,higher,0.6508,0.6508,0.0,0.0,tie
agentreward_side_effect,agent-reward-bench,operation_stack_width,top5_recall,recall@5,higher,0.1139,0.6634,-0.5495,-0.5495,loss
osworld_group_start,osworld-human,operation_stack_width,top5_recall,recall@5,higher,0.3874,0.5903,-0.2029,-0.2029,loss
satraj_unsafe,satraj-os-safety,operation_stack_width,top5_recall,recall@5,higher,0.2621,0.0,0.2621,0.2621,win
agentnet_incorrect_step,agentnet,operation_stack_width,top5_f1,F1@5,higher,0.0067,0.1096,-0.1029,-0.1029,loss
agentnet_redundant_step,agentnet,operation_stack_width,top5_f1,F1@5,higher,0.0316,0.1325,-0.1009,-0.1009,loss
agentreward_looping,agent-reward-bench,operation_stack_width,top5_f1,F1@5,higher,0.7593,0.6819,0.0774,0.0774,win
agentreward_side_effect,agent-reward-bench,operation_stack_width,top5_f1,F1@5,higher,0.1494,0.4061,-0.2567,-0.2567,loss
osworld_group_start,osworld-human,operation_stack_width,top5_f1,F1@5,higher,0.2469,0.297,-0.0501,-0.0501,loss
satraj_unsafe,satraj-os-safety,operation_stack_width,top5_f1,F1@5,higher,0.4065,0.0,0.4065,0.4065,win
agentnet_incorrect_step,agentnet,operation_stack_width,budget30_recall,recall@30% work,higher,0.4382,0.3307,0.1075,0.1075,win
agentnet_redundant_step,agentnet,operation_stack_width,budget30_recall,recall@30% work,higher,0.3533,0.3438,0.0095,0.0095,win
agentreward_looping,agent-reward-bench,operation_stack_width,budget30_recall,recall@30% work,higher,0.3988,0.3532,0.0456,0.0456,win
agentreward_side_effect,agent-reward-bench,operation_stack_width,budget30_recall,recall@30% work,higher,0.3812,0.3069,0.0743,0.0743,win
osworld_group_start,osworld-human,operation_stack_width,budget30_recall,recall@30% work,higher,0.2971,0.4241,-0.127,-0.127,loss
satraj_unsafe,satraj-os-safety,operation_stack_width,budget30_recall,recall@30% work,higher,0.8376,0.1125,0.7251,0.7251,win
agentnet_incorrect_step,agentnet,operation_stack_width,budget30_f1,F1@30% work,higher,0.1448,0.1093,0.0355,0.0355,win
agentnet_redundant_step,agentnet,operation_stack_width,budget30_f1,F1@30% work,higher,0.138,0.1343,0.0037,0.0037,win
agentreward_looping,agent-reward-bench,operation_stack_width,budget30_f1,F1@30% work,higher,0.5568,0.4931,0.0637,0.0637,win
agentreward_side_effect,agent-reward-bench,operation_stack_width,budget30_f1,F1@30% work,higher,0.3667,0.2952,0.0715,0.0715,win
osworld_group_start,osworld-human,operation_stack_width,budget30_f1,F1@30% work,higher,0.2308,0.3294,-0.0986,-0.0986,loss
satraj_unsafe,satraj-os-safety,operation_stack_width,budget30_f1,F1@30% work,higher,0.5464,0.0734,0.473,0.473,win
agentnet_incorrect_step,agentnet,operation_stack_width,top5_work,top-5 inspected work,lower,0.0014,0.2965,-0.2951,0.2951,win
agentnet_redundant_step,agentnet,operation_stack_width,top5_work,top-5 inspected work,lower,0.0089,0.3215,-0.3126,0.3126,win
agentreward_looping,agent-reward-bench,operation_stack_width,top5_work,top-5 inspected work,lower,0.4938,0.6283,-0.1345,0.1345,win
agentreward_side_effect,agent-reward-bench,operation_stack_width,top5_work,top-5 inspected work,lower,0.1454,0.6283,-0.4829,0.4829,win
osworld_group_start,osworld-human,operation_stack_width,top5_work,top-5 inspected work,lower,0.4074,0.5667,-0.1593,0.1593,win
satraj_unsafe,satraj-os-safety,operation_stack_width,top5_work,top-5 inspected work,lower,0.042,0.5181,-0.4761,0.4761,win
agentnet_incorrect_step,agentnet,operation_stack_width,work_to_first_positive,work-to-first-positive,lower,0.0007,0.0821,-0.0814,0.0814,win
agentnet_redundant_step,agentnet,operation_stack_width,work_to_first_positive,work-to-first-positive,lower,0.0051,0.0948,-0.0897,0.0897,win
agentreward_looping,agent-reward-bench,operation_stack_width,work_to_first_positive,work-to-first-positive,lower,0.2058,0.2058,0.0,-0.0,tie
agentreward_side_effect,agent-reward-bench,operation_stack_width,work_to_first_positive,work-to-first-positive,lower,0.0645,0.2058,-0.1413,0.1413,win
osworld_group_start,osworld-human,operation_stack_width,work_to_first_positive,work-to-first-positive,lower,0.1311,0.1331,-0.002,0.002,win
satraj_unsafe,satraj-os-safety,operation_stack_width,work_to_first_positive,work-to-first-positive,lower,0.0112,0.6366,-0.6254,0.6254,win
agentnet_incorrect_step,agentnet,operation_stack_width,groups,group fragmentation,lower,289.0,289.0,0.0,-0.0,tie
agentnet_redundant_step,agentnet,operation_stack_width,groups,group fragmentation,lower,260.0,260.0,0.0,-0.0,tie
agentreward_looping,agent-reward-bench,operation_stack_width,groups,group fragmentation,lower,40.0,40.0,0.0,-0.0,tie
agentreward_side_effect,agent-reward-bench,operation_stack_width,groups,group fragmentation,lower,40.0,40.0,0.0,-0.0,tie
osworld_group_start,osworld-human,operation_stack_width,groups,group fragmentation,lower,173.0,173.0,0.0,-0.0,tie
satraj_unsafe,satraj-os-safety,operation_stack_width,groups,group fragmentation,lower,142.0,142.0,0.0,-0.0,tie
