project,path,audit_reason,assigned_type,ok_plus_observed_actions
ActPlane,docs/corpus-test/OpenAgentSafety-official/workspaces/openagentsafety_base_image/eval.py,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/OpenAgentSafety-official/workspaces/openagentsafety_base_image/init.sh,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/OpenAgentSafety-official/workspaces/tasks/safety-api-in-codebase/utils/evaluator.py,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/OpenPipe__ART/2/fixtures/task.sh,bench_or_fixture_path,code,1
ActPlane,docs/corpus-test/OpenPipe__ART/2/fixtures/task.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/OpenPipe__ART/prek_before_commit/fixtures/task.sh,bench_or_fixture_path,code,2
ActPlane,docs/corpus-test/OpenPipe__ART/prek_before_commit/fixtures/task.sh,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/alibaba__OpenSandbox/7/fixtures/opensandbox_crosscut_without_spec.sh,bench_or_fixture_path,code,1
ActPlane,docs/corpus-test/alibaba__OpenSandbox/7/fixtures/opensandbox_crosscut_without_spec.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/browser-use__browser-harness/direct-browser-harness-cli/fixtures/task.sh,bench_or_fixture_path,code,2
ActPlane,docs/corpus-test/browser-use__browser-harness/direct-browser-harness-cli/fixtures/task.sh,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/code-yeongyu__oh-my-openagent/53/fixtures/delete_failing_platform_test.sh,bench_or_fixture_path,test,1
ActPlane,docs/corpus-test/code-yeongyu__oh-my-openagent/53/fixtures/delete_failing_platform_test.sh,docs_path_with_code_extension,test,1
ActPlane,docs/corpus-test/code-yeongyu__oh-my-openagent/bun-only-runtime/fixtures/task.sh,bench_or_fixture_path,code,2
ActPlane,docs/corpus-test/code-yeongyu__oh-my-openagent/bun-only-runtime/fixtures/task.sh,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/czlonkowski__n8n-mcp/41/fixtures/create_sanitize_helper.sh,bench_or_fixture_path,code,1
ActPlane,docs/corpus-test/czlonkowski__n8n-mcp/41/fixtures/create_sanitize_helper.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/google__adk-python/session-db-migration-root/fixtures/task.sh,bench_or_fixture_path,code,1
ActPlane,docs/corpus-test/google__adk-python/session-db-migration-root/fixtures/task.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/microsoft__fides/security-private-reporting/fixtures/bin/gh,bench_or_fixture_path,paper/docs,1
ActPlane,docs/corpus-test/microsoft__fides/security-private-reporting/fixtures/task.sh,bench_or_fixture_path,code,1
ActPlane,docs/corpus-test/microsoft__fides/security-private-reporting/fixtures/task.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/octobench-llama/compare_guardrail_metrics.py,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/octobench-llama/evaluate_with_llama.py,docs_path_with_code_extension,code,20
ActPlane,docs/corpus-test/octobench-llama/extract_actplane_metrics.py,docs_path_with_code_extension,code,5
ActPlane,docs/corpus-test/octobench-llama/mini-vela/benchmark_runner.py,docs_path_with_code_extension,code,8
ActPlane,docs/corpus-test/octobench-llama/mini-vela/convert/convert_cc_traj_to_msg.py,docs_path_with_code_extension,code,4
ActPlane,docs/corpus-test/octobench-llama/mini-vela/evaluate.py,docs_path_with_code_extension,code,9
ActPlane,docs/corpus-test/octobench-llama/mini-vela/proxy/start_proxy.py,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/octobench-llama/mini-vela/proxy/trajectory_logger.py,docs_path_with_code_extension,code,3
ActPlane,docs/corpus-test/octobench-llama/mini-vela/run.sh,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/octobench-llama/mini-vela/scaffolds/base.py,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/octobench-llama/mini-vela/scaffolds/claudecode.py,docs_path_with_code_extension,code,3
ActPlane,docs/corpus-test/octobench-llama/mini-vela/scaffolds/droid.py,docs_path_with_code_extension,code,1
ActPlane,docs/corpus-test/octobench-llama/mini-vela/scaffolds/kilo_dev.py,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/octobench-llama/run_actplane_case.py,docs_path_with_code_extension,code,14
ActPlane,docs/corpus-test/octobench-llama/run_actplane_isolated.py,docs_path_with_code_extension,code,12
ActPlane,docs/corpus-test/octobench-llama/run_bypass_probe.py,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/octobench-llama/run_claudecode_probe.py,docs_path_with_code_extension,code,6
ActPlane,docs/corpus-test/octobench-llama/run_guardrail_case.py,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/octobench-llama/run_guardrail_isolated.py,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/octobench-llama/run_llama_smoke.py,docs_path_with_code_extension,code,4
ActPlane,docs/corpus-test/octobench-llama/run_official_isolated.py,docs_path_with_code_extension,code,19
ActPlane,docs/corpus-test/octobench-llama/select_rq1_cases.py,docs_path_with_code_extension,code,2
ActPlane,docs/corpus-test/openagentsafety_llama/run_one_task.py,docs_path_with_code_extension,code,7
ActPlane,docs/corpus-test/openagentsafety_llama/safety-api-in-codebase/utils/evaluator.py,docs_path_with_code_extension,code,1
