project,variant,threshold_value,threshold_unit,worktree_id,artifact_id,artifact_key,episode_ordinal,touch_count,mutation_touch_count,first_touch_event_index,last_touch_event_index,first_touch_ts_ms,last_touch_ts_ms,first_mutation_event_index,last_mutation_event_index,active_mutation_span_actions,active_mutation_span_hours,first_path,last_path
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000834,e58fce112c6eagentsight:a00000834,1,3,0,32361,32382,1781812760950,1781812976067,,,,,docs/visexp/out/fresh-clone-agentpprof-r220/profiles/network.folded,docs/visexp/out/fresh-clone-agentpprof-r220/profiles/network.folded
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000835,e58fce112c6eagentsight:a00000835,1,3,0,32361,32382,1781812760950,1781812976067,,,,,docs/visexp/out/fresh-clone-agentpprof-r220/profiles/tools.folded,docs/visexp/out/fresh-clone-agentpprof-r220/profiles/tools.folded
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000836,e58fce112c6eagentsight:a00000836,1,1,1,32403,32403,1781813214608,1781813214608,32403,32403,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000837,e58fce112c6eagentsight:a00000837,1,6,0,32532,34524,1781814202220,1781853104073,,,,,docs/visexp/out/live-network-r191.md,docs/visexp/out/live-network-r191.md
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000838,e58fce112c6eagentsight:a00000838,1,19,0,32578,34701,1781814703159,1781853897326,,,,,docs/visexp/r191_target_network_lineage.py,docs/visexp/r191_target_network_lineage.py
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000839,e58fce112c6eagentsight:a00000839,1,1,1,32598,32598,1781814818576,1781814818576,32598,32598,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000840,e58fce112c6eagentsight:a00000840,1,1,0,32646,32646,1781815069891,1781815069891,,,,,docs/visexp/out/live-network-r191.json,docs/visexp/out/live-network-r191.json
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000841,e58fce112c6eagentsight:a00000841,1,1,1,32718,32718,1781815532185,1781815532185,32718,32718,1,0.0,collector/vendor/frontend/dist/_next/static/agentsight-aba2a1c44ad0848f,collector/vendor/frontend/dist/_next/static/agentsight-aba2a1c44ad0848f
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000842,e58fce112c6eagentsight:a00000842,1,1,1,32718,32718,1781815532185,1781815532185,32718,32718,1,0.0,collector/vendor/frontend/dist/_next/static/chunks/app/layout-f4d7bd2cd53a4aa0.js,collector/vendor/frontend/dist/_next/static/chunks/app/layout-f4d7bd2cd53a4aa0.js
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000843,e58fce112c6eagentsight:a00000843,1,1,1,32718,32718,1781815532185,1781815532185,32718,32718,1,0.0,collector/vendor/frontend/dist/_next/static/chunks/app/page-20b778ede282ab6b.js,collector/vendor/frontend/dist/_next/static/chunks/app/page-20b778ede282ab6b.js
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000844,e58fce112c6eagentsight:a00000844,1,1,1,32718,32718,1781815532185,1781815532185,32718,32718,1,0.0,collector/vendor/frontend/dist/_next/static/css/18abc6bea07452bd.css,collector/vendor/frontend/dist/_next/static/css/18abc6bea07452bd.css
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000845,e58fce112c6eagentsight:a00000845,1,1,1,32748,32748,1781815755976,1781815755976,32748,32748,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000846,e58fce112c6eagentsight:a00000846,1,4,0,32781,34525,1781816135268,1781853104073,,,,,docs/visexp/out/exact-lineage-replication-r229.md,docs/visexp/out/exact-lineage-replication-r229.md
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000847,e58fce112c6eagentsight:a00000847,1,5,0,32816,33561,1781816479168,1781821866477,,,,,docs/visexp/r229_exact_lineage_replication.py,docs/visexp/r229_exact_lineage_replication.py
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000848,e58fce112c6eagentsight:a00000848,1,3,0,32817,32843,1781816479169,1781816536964,,,,,docs/visexp/out/exact-lineage-replication-r229.json,docs/visexp/out/exact-lineage-replication-r229.json
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000849,e58fce112c6eagentsight:a00000849,1,1,1,32820,32820,1781816488233,1781816488233,32820,32820,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000850,e58fce112c6eagentsight:a00000850,1,1,1,32864,32864,1781816727726,1781816727726,32864,32864,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000851,e58fce112c6eagentsight:a00000851,1,1,0,32892,32892,1781816857868,1781816857868,,,,,docs/visexp/out/prompt-span-duration-r225/prompt-spans-r225.csv,docs/visexp/out/prompt-span-duration-r225/prompt-spans-r225.csv
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000852,e58fce112c6eagentsight:a00000852,1,6,0,32914,33384,1781817193799,1781820670960,,,,,docs/visexp/out/full-history-lineage-r230/full-history-lineage-r230.md,docs/visexp/out/full-history-lineage-r230/full-history-lineage-r230.md
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000853,e58fce112c6eagentsight:a00000853,1,2,0,32914,32951,1781817193799,1781817437723,,,,,docs/visexp/out/full-history-lineage-r230/semantic-drift-samples-r230.csv,docs/visexp/out/full-history-lineage-r230/semantic-drift-samples-r230.csv
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000854,e58fce112c6eagentsight:a00000854,1,1,1,32944,32944,1781817422692,1781817422692,32944,32944,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000855,e58fce112c6eagentsight:a00000855,1,9,0,32954,33382,1781817444767,1781820670938,,,,,docs/visexp/r230_full_history_lineage_audit.py,docs/visexp/r230_full_history_lineage_audit.py
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000856,e58fce112c6eagentsight:a00000856,1,2,0,32976,33176,1781817520994,1781818897368,,,,,docs/visexp/out/full-history-lineage-r230/full-history-lineage-r230.json,docs/visexp/out/full-history-lineage-r230/full-history-lineage-r230.json
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000857,e58fce112c6eagentsight:a00000857,1,1,1,33020,33020,1781817828109,1781817828109,33020,33020,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000858,e58fce112c6eagentsight:a00000858,1,3,0,33088,33384,1781818416307,1781820670960,,,,,docs/visexp/out/drift-root-cause-r231/drift-root-cause-r231.md,docs/visexp/out/drift-root-cause-r231/drift-root-cause-r231.md
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000859,e58fce112c6eagentsight:a00000859,1,3,0,33089,33399,1781818416308,1781820726808,,,,,docs/visexp/out/drift-root-cause-r231/duplicate-prompt-index-sessions-r231.csv,docs/visexp/out/drift-root-cause-r231/duplicate-prompt-index-sessions-r231.csv
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000860,e58fce112c6eagentsight:a00000860,1,3,0,33089,33403,1781818416308,1781820739049,,,,,docs/visexp/out/drift-root-cause-r231/mismatch-pairs-r231.csv,docs/visexp/out/drift-root-cause-r231/mismatch-pairs-r231.csv
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000861,e58fce112c6eagentsight:a00000861,1,1,1,33123,33123,1781818677311,1781818677311,33123,33123,1,0.0,docs/visexp/paper/main.aux,docs/visexp/paper/main.aux
agentsight,time_gap_gt_24h,24.0,elapsed_hours,e58fce112c6e,agentsight:a00000862,e58fce112c6eagentsight:a00000862,1,1,1,33123,33123,1781818677311,1781818677311,33123,33123,1,0.0,docs/visexp/paper/main.fdb_latexmk,docs/visexp/paper/main.fdb_latexmk
