project,worktree_id,interval_type,start_event_id,end_event_id,start_action_rank,end_action_rank,action_length,duration_ms,distinct_sessions,mutation_rows,mutated_artifacts,failed_attempts,observed_unknown_attempts,ending_co_observed_mutation_rows
ActPlane,3dae89cd06ae,complete,claude:6adfbde0-886f-47e3-8f11-f784ecc812e1:17,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:189,57801,57830,29,99120,3,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-41-02-019f0204-46ee-7313-848a-7d6a483ccce8:189,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:452,57830,57868,38,179707,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:452,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:455,57868,57875,7,59177,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:455,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:456,57875,57876,1,4,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:456,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:457,57876,57877,1,39,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:457,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:495,57877,57973,96,857724,3,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:495,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:496,57973,57974,1,0,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:496,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:497,57974,57975,1,43,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-25T20-15-04-019f01ec-7f4a-7102-8213-eda750228933:497,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:225,57975,58261,286,320224272,2,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:225,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:226,58261,58262,1,8966,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:226,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:231,58262,58267,5,16636,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:231,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:239,58267,58275,8,63445,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:239,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:240,58275,58276,1,5904,1,0,0,0,0,0
ActPlane,3dae89cd06ae,complete,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:240,codex:rollout-2026-06-29T14-22-54-019f1543-8728-7c90-9ca6-8848356a9199:241,58276,58277,1,45,1,0,0,0,0,0
