corpus,stratum,cluster_id,row_id,tool_calls,shell_calls,shell_share,path_calls,path_transitions,local_path_transitions,same_path_transitions,same_module_only_transitions,cross_module_transitions,path_locality_share,module_return_calls,module_return_call_share,path_instances,reused_path_instances,path_reuse_share,path_read_instances,repeated_path_read_instances,repeat_path_read_share,top_path_share,unique_target_paths,top_path_excess,late_path_reread_delta
openswe,sweagent/minimax_m25,xlate__staedi-111,a73ab82d-d1ba-4cae-84eb-65b10547e9a1,83,59,0.7108433734939759,50,49,39,17,22,10,0.7959183673469388,10,0.2,63,37,0.5873015873015873,41,22,0.5365853658536586,0.25396825396825395,26,0.2155067155067155,0.015873015873015872
openswe,sweagent/minimax_m25,swc-project__swc-9446,c8090917-3081-4c1e-bba6-968096b79c7d,182,161,0.8846153846153846,71,70,46,25,21,24,0.6571428571428571,21,0.29577464788732394,77,43,0.5584415584415584,54,21,0.3888888888888889,0.38961038961038963,34,0.36019862490450727,0.5303030303030303
openswe,sweagent/minimax_m25,lukeautry__tsoa-664,2d0b8ce2-b344-4186-9443-387c31642feb,66,42,0.6363636363636364,55,54,39,23,16,15,0.7222222222222222,20,0.36363636363636365,94,71,0.7553191489361702,46,30,0.6521739130434783,0.13829787234042554,23,0.09481961147086032,0.631578947368421
openswe,sweagent/minimax_m25,rwjblue__ember-template-lint-241,6aad3f23-e209-40ba-9355-c6f2f9e30443,143,111,0.7762237762237763,59,58,40,28,12,18,0.6896551724137931,21,0.3559322033898305,201,132,0.6567164179104478,175,110,0.6285714285714286,0.0845771144278607,69,0.0700843608046723,0.37869822485207105
openswe,sweagent/minimax_m25,sindresorhus__camelcase-112,f7b32971-63bd-48f4-b62c-c81f8364a227,190,174,0.9157894736842105,109,108,106,84,22,2,0.9814814814814815,19,0.1743119266055046,150,110,0.7333333333333333,56,40,0.7142857142857143,0.5866666666666667,40,0.5616666666666666,0.2797202797202798
openswe,sweagent/minimax_m25,tox-dev__pipdeptree-318,8ea14769-b31d-4418-9e26-9e1e4aa479fc,75,49,0.6533333333333333,39,38,28,14,14,10,0.7368421052631579,9,0.23076923076923078,43,32,0.7441860465116279,16,7,0.4375,0.13953488372093023,11,0.04862579281183932,0.6000000000000001
openswe,sweagent/minimax_m25,mill1000__midea-msmart-99,fdfcce4c-85d2-4389-82da-9907a33bfea0,47,22,0.46808510638297873,37,36,27,20,7,9,0.75,8,0.21621621621621623,37,31,0.8378378378378378,19,14,0.7368421052631579,0.3783783783783784,6,0.21171171171171174,0.4545454545454546
openswe,sweagent/minimax_m25,getmoto__moto-6238,e18fdefb-13b8-4b04-9212-df45470dcc8f,53,28,0.5283018867924528,44,43,26,24,2,17,0.6046511627906976,14,0.3181818181818182,48,38,0.7916666666666666,29,22,0.7586206896551724,0.3541666666666667,10,0.25416666666666665,-0.02564102564102566
openswe,sweagent/minimax_m25,doctrine__dbal-4341,b02c47c1-cabf-49ef-8ca9-e7c940210c1e,68,26,0.38235294117647056,62,61,43,24,19,18,0.7049180327868853,16,0.25806451612903225,75,55,0.7333333333333333,40,20,0.5,0.14666666666666667,20,0.09666666666666666,0.15966386554621848
openswe,sweagent/minimax_m25,vaskoz__dailycodingproblem-go-634,e9101075-a0b2-4c55-8011-cf478399cc0b,109,93,0.8532110091743119,55,54,26,13,13,28,0.48148148148148145,27,0.4909090909090909,76,52,0.6842105263157895,39,19,0.48717948717948717,0.17105263157894737,24,0.12938596491228072,0.45588235294117646
openswe,sweagent/minimax_m25,behat__gherkin-294,9aaa4457-b1ee-41a3-a48b-f8cc4ffe7333,39,17,0.4358974358974359,34,33,20,12,8,13,0.6060606060606061,10,0.29411764705882354,37,20,0.5405405405405406,22,7,0.3181818181818182,0.2972972972972973,17,0.2384737678855326,0.47222222222222227
openswe,sweagent/minimax_m25,auth0__nextjs-auth0-1342,be78c0d4-327a-414a-94f2-66c35c1df67f,45,20,0.4444444444444444,38,37,21,8,13,16,0.5675675675675675,13,0.34210526315789475,39,21,0.5384615384615384,27,12,0.4444444444444444,0.15384615384615385,18,0.0982905982905983,0.6373626373626373
openswe,sweagent/minimax_m25,avaje__avaje-inject-650,60ebd97a-aa39-42b4-b02a-f8688826164b,139,99,0.7122302158273381,88,87,52,22,30,35,0.5977011494252874,40,0.45454545454545453,151,94,0.6225165562913907,108,62,0.5740740740740741,0.07947019867549669,57,0.061926339026373886,0.2551724137931034
openswe,sweagent/minimax_m25,timothycrosley__isort-1029,169f13a6-29a4-4b87-b789-3f57f61158c3,84,61,0.7261904761904762,38,37,30,25,5,7,0.8108108108108109,6,0.15789473684210525,38,32,0.8421052631578947,36,30,0.8333333333333334,0.47368421052631576,6,0.3070175438596491,0.2857142857142857
openswe,sweagent/minimax_m25,miekg__dns-1618,977650b5-88ce-403e-94b6-63eb6ce3c853,91,69,0.7582417582417582,58,57,53,27,26,4,0.9298245614035088,6,0.10344827586206896,155,99,0.6387096774193548,131,76,0.5801526717557252,0.16129032258064516,56,0.1434331797235023,0.4854368932038835
openswe,sweagent/minimax_m25,vaskoz__dailycodingproblem-go-471,3475aaab-92f9-48db-92ff-f64b571fb1e6,122,110,0.9016393442622951,94,93,55,39,16,38,0.5913978494623656,40,0.425531914893617,145,106,0.7310344827586207,85,65,0.7647058823529411,0.1310344827586207,39,0.10539345711759507,0.14402618657937805
openswe,sweagent/minimax_m25,clap-rs__clap-4328,cd7be098-e11a-4620-8509-08dff9a74b28,52,34,0.6538461538461539,26,25,19,12,7,6,0.76,3,0.11538461538461539,26,15,0.5769230769230769,22,11,0.5,0.5,11,0.40909090909090906,0.5
openswe,sweagent/minimax_m25,mcollina__fastify-gql-238,d1fac1ac-9cf3-491e-a76a-b4a9273df59b,70,49,0.7,28,27,16,14,2,11,0.5925925925925926,9,0.32142857142857145,29,20,0.6896551724137931,21,13,0.6190476190476191,0.4827586206896552,9,0.3716475095785441,0.5833333333333333
openswe,sweagent/minimax_m25,yargs__yargs-1352,e155cee9-8961-4323-ae11-edecf2ec3018,52,38,0.7307692307692307,34,33,29,20,9,4,0.8787878787878788,2,0.058823529411764705,36,27,0.75,10,5,0.5,0.3611111111111111,9,0.25,0.6
openswe,sweagent/minimax_m25,jhy__jsoup-2283,67c7f21c-c408-4bcc-b811-136b565effc0,111,88,0.7927927927927928,84,83,69,68,1,14,0.8313253012048193,23,0.27380952380952384,122,98,0.8032786885245902,74,54,0.7297297297297297,0.5409836065573771,24,0.4993169398907104,0.1875
openswe,sweagent/minimax_m25,tox-dev__sphinx-autodoc-typehints-445,18e521c4-9d18-481c-a92f-0328f5a29e68,81,61,0.7530864197530864,48,47,33,22,11,14,0.7021276595744681,11,0.22916666666666666,65,50,0.7692307692307693,55,42,0.7636363636363637,0.24615384615384617,15,0.17948717948717952,0.4411764705882353
openswe,sweagent/minimax_m25,tradingview__lightweight-charts-499,1567f7c1-5e52-440c-9ae7-0201403694a6,96,45,0.46875,76,75,59,38,21,16,0.7866666666666666,18,0.23684210526315788,123,91,0.7398373983739838,100,69,0.69,0.24390243902439024,32,0.21265243902439024,0.2765151515151516
openswe,sweagent/minimax_m25,ploomber__jupysql-361,2acb63fa-9764-4071-8544-c5568040de75,93,48,0.5161290322580645,57,56,49,23,26,7,0.875,6,0.10526315789473684,65,49,0.7538461538461538,45,30,0.6666666666666666,0.2153846153846154,16,0.1528846153846154,0.25563909774436094
openswe,sweagent/minimax_m25,kestra-io__kestra-5630,dead6476-3818-45bb-913d-41bae610df3f,101,77,0.7623762376237624,66,65,34,16,18,31,0.5230769230769231,32,0.48484848484848486,92,58,0.6304347826086957,76,43,0.5657894736842105,0.18478260869565216,34,0.1553708439897698,0.28076923076923077
openswe,sweagent/minimax_m25,samuelcolvin__pydantic-3707,a4b53f3e-5efb-4293-b230-02b5e2642ea9,43,30,0.6976744186046512,33,32,11,7,4,21,0.34375,19,0.5757575757575758,46,25,0.5434782608695652,35,17,0.4857142857142857,0.17391304347826086,21,0.12629399585921325,0.22941176470588237
openswe,sweagent/minimax_m25,coder__envbuilder-389,e31abc43-0406-4a54-8e61-f72e66f9ce38,69,52,0.7536231884057971,56,55,42,24,18,13,0.7636363636363637,12,0.21428571428571427,59,48,0.8135593220338984,43,34,0.7906976744186046,0.2542372881355932,11,0.1633281972265023,0.3571428571428572
openswe,sweagent/minimax_m25,lyraproj__hiera-28,1961f524-d143-4e51-a044-15e38f7971ec,97,53,0.5463917525773195,88,87,54,40,14,33,0.6206896551724138,35,0.3977272727272727,113,86,0.7610619469026548,47,24,0.5106382978723404,0.17699115044247787,27,0.13995411340544084,-0.04166666666666663
openswe,sweagent/minimax_m25,sanic-org__sanic-ext-163,4a22fca9-7f95-47be-a810-6e927c4c8f06,83,58,0.6987951807228916,41,40,23,13,10,17,0.575,15,0.36585365853658536,47,26,0.5531914893617021,36,16,0.4444444444444444,0.2553191489361702,21,0.20770010131712258,0.75
openswe,sweagent/minimax_m25,virtuslab__git-machete-828,3677bb98-7137-46d7-9528-ff6578a7b781,45,29,0.6444444444444445,31,30,16,8,8,14,0.5333333333333333,13,0.41935483870967744,43,23,0.5348837209302325,24,9,0.375,0.23255813953488372,20,0.1825581395348837,-0.47115384615384615
openswe,sweagent/qwen35_122b,mgechev__revive-881,336a75c9-efc1-4d5c-9fd0-d97cd70a705e,179,147,0.8212290502793296,166,165,95,78,17,70,0.5757575757575758,76,0.4578313253012048,357,271,0.7591036414565826,297,211,0.7104377104377104,0.12885154061624648,86,0.1172236336395023,0.21147342995169083
openswe,sweagent/qwen35_122b,draft-js-plugins__draft-js-plugins-2052,7ca71598-fba5-4363-961c-3ef8d9b276f6,154,127,0.8246753246753247,102,101,77,18,59,24,0.7623762376237624,34,0.3333333333333333,168,108,0.6428571428571429,144,87,0.6041666666666666,0.10119047619047619,60,0.08452380952380953,0.5135135135135135
openswe,sweagent/qwen35_122b,weld__weld-junit-38,7b9366d1-c1bd-4401-9f8c-be13ce0cf63e,181,138,0.7624309392265194,108,107,65,30,35,42,0.6074766355140186,58,0.5370370370370371,220,154,0.7,197,135,0.6852791878172588,0.08181818181818182,66,0.06666666666666667,0.3755036261079774
openswe,sweagent/qwen35_122b,galileo-galilei__kedro-mlflow-585,15ce048a-0586-491c-83f8-52ce20cadd4d,106,82,0.7735849056603774,82,81,55,39,16,26,0.6790123456790124,25,0.3048780487804878,112,85,0.7589285714285714,75,54,0.72,0.125,27,0.08796296296296297,0.26206896551724135
openswe,sweagent/qwen35_122b,openrefine__openrefine-6503,dd1af725-6d8f-494b-86a8-8be80083a151,195,159,0.8153846153846154,162,161,126,49,77,35,0.782608695652174,69,0.42592592592592593,299,181,0.6053511705685619,207,108,0.5217391304347826,0.043478260869565216,118,0.03500368459837878,0.30227272727272725
openswe,sweagent/qwen35_122b,kedacore__http-add-on-1039,b6bfec70-a7bc-4e78-9842-1a035e71f4a5,127,99,0.7795275590551181,116,115,76,41,35,39,0.6608695652173913,42,0.3620689655172414,192,140,0.7291666666666666,154,108,0.7012987012987013,0.140625,52,0.12139423076923077,0.0032467532467532756
openswe,sweagent/qwen35_122b,apache__pulsar-client-go-1197,10cdf198-fd9c-4036-b9d0-9ef26c48c3ef,169,90,0.5325443786982249,164,163,139,88,51,24,0.852760736196319,25,0.1524390243902439,192,153,0.796875,142,107,0.7535211267605634,0.125,39,0.09935897435897437,0.15644555694618267
openswe,sweagent/qwen35_122b,rust-analyzer__rust-analyzer-5314,33aac071-4b4b-4b85-8b61-35ea216e463c,192,162,0.84375,175,174,123,61,62,51,0.7068965517241379,47,0.26857142857142857,188,136,0.723404255319149,177,125,0.7062146892655368,0.1276595744680851,52,0.10842880523731586,0.02853107344632766
openswe,sweagent/qwen35_122b,grafana__tanka-112,1e6e71d6-798b-45ab-a6b8-45a395fab527,84,61,0.7261904761904762,76,75,42,16,26,33,0.56,32,0.42105263157894735,105,72,0.6857142857142857,86,54,0.627906976744186,0.10476190476190476,33,0.07445887445887446,0.07291666666666663
openswe,sweagent/qwen35_122b,doctrine__orm-9616,373f3117-115c-4703-9b26-075c5a36b336,167,114,0.6826347305389222,153,152,107,81,26,45,0.7039473684210527,47,0.30718954248366015,204,145,0.7107843137254902,147,99,0.673469387755102,0.13725490196078433,59,0.12030574941841145,-0.1450980392156862
openswe,sweagent/qwen35_122b,cs-si__eodag-228,9a796cfe-5b4c-4803-b1d9-5d5f38268307,128,103,0.8046875,112,111,76,57,19,35,0.6846846846846847,42,0.375,186,152,0.8172043010752689,174,140,0.8045977011494253,0.12903225806451613,34,0.09962049335863377,0.0975845410628019
openswe,sweagent/qwen35_122b,googlechrome__lighthouse-5917,7d52cf2c-325e-4bf6-87b3-20d8d4da59b5,106,81,0.7641509433962265,99,98,64,27,37,34,0.6530612244897959,44,0.4444444444444444,177,111,0.6271186440677966,156,96,0.6153846153846154,0.0847457627118644,66,0.06959424756034925,0.34604519774011294
openswe,sweagent/qwen35_122b,stylelint-scss__stylelint-scss-985,582bcf35-23bb-4fcc-917f-b284c8c65e60,170,118,0.6941176470588235,160,159,119,64,55,40,0.7484276729559748,46,0.2875,217,150,0.6912442396313364,148,93,0.6283783783783784,0.12442396313364056,67,0.1094985899993122,0.009550561797752821
openswe,sweagent/qwen35_122b,pennylaneai__pennylane-1568,398b04bc-9344-4bce-89ee-b93f39568984,158,93,0.5886075949367089,146,145,122,81,41,23,0.8413793103448276,26,0.1780821917808219,166,120,0.7228915662650602,132,89,0.6742424242424242,0.2710843373493976,46,0.24934520691461498,-0.08385093167701863
openswe,sweagent/qwen35_122b,sabre-io__dav-1362,a90db556-2240-42db-986b-91d5b2c9844a,125,83,0.664,122,121,78,50,28,43,0.6446280991735537,40,0.32786885245901637,124,82,0.6612903225806451,108,67,0.6203703703703703,0.08870967741935484,42,0.06490015360983103,0.4564516129032258
openswe,sweagent/qwen35_122b,alecthomas__kong-262,42f7e54b-c3dc-40f2-9e7e-60a778d5a8db,145,126,0.8689655172413793,118,117,115,72,43,2,0.9829059829059829,20,0.1694915254237288,200,154,0.77,116,74,0.6379310344827587,0.275,46,0.25326086956521743,-0.016339869281045694
openswe,sweagent/qwen35_122b,petermattis__pebble-110,4837db8d-0865-4a62-a3a4-7900a73ab826,130,83,0.6384615384615384,114,113,90,56,34,23,0.7964601769911505,20,0.17543859649122806,132,98,0.7424242424242424,111,78,0.7027027027027027,0.3106060606060606,34,0.28119429590017825,0.00579150579150578
