stratum_type,project,vendor,sequence_scope,sequence_granularity,from_family,to_family,count,conditional_probability,all_transition_share
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:git/repository,242,0.10995002271694684,0.0013490537112913566
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:lint/format,59,0.02680599727396638,0.00032890152465367786
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:network/remote,7,0.0031803725579282144,3.9022214789419405e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:other,316,0.14357110404361653,0.0017615742676366473
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:package/dependency,1,0.00045433893684688776,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:process/system,81,0.03680145388459791,0.00045154277113471027
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:search/text,572,0.2598818718764198,0.003188672408506843
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,shell:test,165,0.07496592457973648,0.0009198093486077431
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,skill,1,0.00045433893684688776,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,task,66,0.029986369831894594,0.00036792373944309723
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,wait/control,139,0.0631531122217174,0.0007748696936756139
overall,ALL,ALL,full_stream,hybrid_shell,shell:build/check,write,17,0.007723761926397092,9.476823591716141e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,edit,29,0.012537829658452227,0.00016166346127045183
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,fetch,1,0.00043233895373973193,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,plan/goal,3,0.0012970168612191958,1.67238063383226e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,read,3,0.0012970168612191958,1.67238063383226e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:container/orchestration,607,0.2624297449200173,0.0033837834824539397
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:data/analysis/runtime,60,0.02594033722438392,0.00033447612676645205
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:filesystem/navigation,56,0.02421098140942499,0.00031217771831535524
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:git/repository,19,0.008214440121054907,0.00010591744014270982
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:lint/format,1,0.00043233895373973193,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:network/remote,8,0.0034587116299178555,4.4596816902193607e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:other,90,0.038910505836575876,0.000501714190149678
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:process/system,182,0.07868568958063121,0.0010145775845249046
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:search/text,445,0.19239083441418073,0.0024806979401845192
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,shell:test,2,0.0008646779074794639,1.1149204225548402e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,wait/control,806,0.34846519671422393,0.004493129302896005
overall,ALL,ALL,full_stream,hybrid_shell,shell:container/orchestration,write,1,0.00043233895373973193,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,coordination,147,0.01765977895242672,0.0008194665105778075
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,edit,352,0.0422873618452667,0.0019622599436965186
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,fetch,1,0.0001201345506967804,5.574602112774201e-06
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,multimodal,6,0.0007208073041806823,3.34476126766452e-05
overall,ALL,ALL,full_stream,hybrid_shell,shell:data/analysis/runtime,plan/goal,98,0.011773185968284479,0.0005463110070518716
