stratum_type,project,vendor,grouping,tool_group,calls,ok,fail,observed,decisive_calls,decisive_failure_rate,observed_share
overall,ALL,ALL,tool_name,read_file,21,21,0,0,21,0.0,0.0
overall,ALL,ALL,tool_name,read_thread_terminal,1,0,0,1,0,,1.0
overall,ALL,ALL,tool_name,resume_agent,3,0,0,3,0,,1.0
overall,ALL,ALL,tool_name,run_shell_command,2,0,2,0,2,1.0,0.0
overall,ALL,ALL,tool_name,send_input,63,0,0,63,0,,1.0
overall,ALL,ALL,tool_name,send_message,1032,0,0,1032,0,,1.0
overall,ALL,ALL,tool_name,spawn_agent,814,0,0,814,0,,1.0
overall,ALL,ALL,tool_name,update_goal,21,0,0,21,0,,1.0
overall,ALL,ALL,tool_name,update_plan,1505,0,0,1505,0,,1.0
overall,ALL,ALL,tool_name,view_image,113,0,2,111,2,1.0,0.9823008849557522
overall,ALL,ALL,tool_name,wait,4403,3815,35,553,3850,0.00909090909090909,0.12559618441971382
overall,ALL,ALL,tool_name,wait_agent,4012,0,14,3998,14,1.0,0.9965104685942173
overall,ALL,ALL,tool_name,write_file,4,4,0,0,4,0.0,0.0
overall,ALL,ALL,tool_name,write_stdin,11432,1898,675,8859,2573,0.26233968130586865,0.7749300209937019
vendor,ALL,claude,tool_name,Agent,613,589,14,10,603,0.02321724709784411,0.01631321370309951
vendor,ALL,claude,tool_name,AskUserQuestion,12,10,2,0,12,0.16666666666666666,0.0
