stratum_type,project,vendor,scope,preceding_tool_family,gaps,gap_ms_p50,gap_ms_p90,gap_ms_p95,gap_ms_p99,gap_ms_max,gap_le_1s_share,gap_le_10s_share,gap_gt_60s_count,gap_gt_60s_share,gap_gt_10m_count,gap_gt_10m_share,share_of_stratum_gaps_gt_60s
project,academic-writing-skills,ALL,same_prompt,shell,244,7033.5,25465.10000000001,48752.599999999984,80961.70999999999,145474,0.09836065573770492,0.6516393442622951,7,0.028688524590163935,0,0.0,0.5
project,academic-writing-skills,ALL,same_prompt,skill,1,10204.0,10204.0,10204.0,10204.0,10204,0.0,0.0,0,0.0,0,0.0,0.0
project,academic-writing-skills,ALL,same_prompt,task,5,8716.0,10403.6,10878.8,11258.960000000001,11354,0.0,0.8,0,0.0,0,0.0,0.0
project,academic-writing-skills,ALL,same_prompt,tool discovery,3,7960.0,9604.8,9810.4,9974.880000000001,10016,0.0,0.6666666666666666,0,0.0,0,0.0,0.0
project,academic-writing-skills,ALL,same_prompt,write,11,8601.0,29367.0,29980.0,30470.4,30593,0.0,0.5454545454545454,0,0.0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,all_adjacent,ALL,923,5014.0,46517.40000000001,135307.89999999985,577471.7399999988,48921278,0.16143011917659805,0.7020585048754063,76,0.08234019501625135,8,0.00866738894907909,1.0
project_vendor,academic-writing-skills,claude,all_adjacent,edit,388,3476.0,24979.200000000063,68961.94999999995,512402.33999999985,2886294,0.05154639175257732,0.7835051546391752,23,0.059278350515463915,2,0.005154639175257732,0.3026315789473684
project_vendor,academic-writing-skills,claude,all_adjacent,fetch,2,34243.0,61331.799999999996,64717.899999999994,67426.78000000001,68104,0.5,0.5,1,0.5,0,0.0,0.013157894736842105
project_vendor,academic-writing-skills,claude,all_adjacent,other,3,11282.0,998274.8,1121648.9,1220348.18,1245023,0.0,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0.013157894736842105
project_vendor,academic-writing-skills,claude,all_adjacent,read,211,1013.0,36580.0,60559.5,181131.40000000008,795688,0.4834123222748815,0.7725118483412322,11,0.052132701421800945,1,0.004739336492890996,0.14473684210526316
project_vendor,academic-writing-skills,claude,all_adjacent,search,5,23815.0,29085.4,29313.2,29495.440000000002,29541,0.4,0.4,0,0.0,0,0.0,0.0
project_vendor,academic-writing-skills,claude,all_adjacent,shell,287,8108.0,84027.80000000005,303825.3,610209.5399999989,48921278,0.08362369337979095,0.5749128919860628,37,0.1289198606271777,3,0.010452961672473868,0.4868421052631579
