stratum_type,project,vendor,tool_family,source_category,projected_effect,calls,share,ok,fail,observed
project,eunomia.dev,ALL,fetch,network,process,80,0.005765350245027385,80,0,0
project,eunomia.dev,ALL,multimodal,tool,process,29,0.0020899394638224274,1,0,28
project,eunomia.dev,ALL,other,tool,process,10,0.0007206687806284232,2,4,4
project,eunomia.dev,ALL,plan/goal,plan,process,28,0.002017872585759585,0,0,28
project,eunomia.dev,ALL,read,read,process,496,0.03574517151916979,491,5,0
project,eunomia.dev,ALL,search,network,network,3,0.00021620063418852694,3,0,0
project,eunomia.dev,ALL,search,network,process,389,0.02803401556644566,389,0,0
project,eunomia.dev,ALL,search,read,process,4,0.0002882675122513693,4,0,0
project,eunomia.dev,ALL,shell,shell,network,400,0.028826751225136928,321,9,70
project,eunomia.dev,ALL,shell,shell,process,3533,0.2546122801960219,2581,120,832
project,eunomia.dev,ALL,shell,shell,read,3491,0.2515854713173825,3413,73,5
project,eunomia.dev,ALL,shell,shell,repo,186,0.01340443931968867,160,4,22
project,eunomia.dev,ALL,shell,shell,test,167,0.012035168636494667,67,3,97
project,eunomia.dev,ALL,shell,shell,write,340,0.02450273854136639,293,26,21
project,eunomia.dev,ALL,skill,tool,process,5,0.0003603343903142116,5,0,0
project,eunomia.dev,ALL,task,network,network,3,0.00021620063418852694,3,0,0
project,eunomia.dev,ALL,task,subagent,process,117,0.008431824733352552,86,3,28
project,eunomia.dev,ALL,tool discovery,network,process,59,0.004251945805707697,59,0,0
project,eunomia.dev,ALL,wait/control,tool,process,2980,0.2147592966272701,953,83,1944
project,eunomia.dev,ALL,write,edit,process,64,0.004612280196021909,62,2,0
