stratum_type,project,vendor,tool_family,analysis_scope,window,behavior,count,share,failed_calls
project,ActPlane,ALL,fetch,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,13,0.7222222222222222,18
project,ActPlane,ALL,fetch,same_prompt_source_stream,next_call,switch_to:search,5,0.2777777777777778,18
project,ActPlane,ALL,multimodal,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.5,2
project,ActPlane,ALL,multimodal,same_prompt_source_stream,next_call,switch_to:edit,1,0.5,2
project,ActPlane,ALL,other,same_prompt_source_stream,next_call,exact_retry_not_success,1,0.2,5
project,ActPlane,ALL,other,same_prompt_source_stream,next_call,switch_to:shell,4,0.8,5
project,ActPlane,ALL,plan/goal,same_prompt_source_stream,next_call,switch_to:edit,3,0.5,6
project,ActPlane,ALL,plan/goal,same_prompt_source_stream,next_call,switch_to:read,2,0.3333333333333333,6
project,ActPlane,ALL,plan/goal,same_prompt_source_stream,next_call,switch_to:shell,1,0.16666666666666666,6
project,ActPlane,ALL,read,same_prompt_source_stream,next_call,end_of_prompt,1,0.03333333333333333,30
project,ActPlane,ALL,read,same_prompt_source_stream,next_call,exact_retry_not_success,1,0.03333333333333333,30
project,ActPlane,ALL,read,same_prompt_source_stream,next_call,exact_retry_success,4,0.13333333333333333,30
project,ActPlane,ALL,read,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,8,0.26666666666666666,30
project,ActPlane,ALL,read,same_prompt_source_stream,next_call,switch_to:edit,1,0.03333333333333333,30
project,ActPlane,ALL,read,same_prompt_source_stream,next_call,switch_to:shell,14,0.4666666666666667,30
project,ActPlane,ALL,read,same_prompt_source_stream,next_call,switch_to:write,1,0.03333333333333333,30
project,ActPlane,ALL,search,same_prompt_source_stream,next_call,end_of_stream,1,0.2,5
project,ActPlane,ALL,search,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,4,0.8,5
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,end_of_prompt,41,0.030460624071322436,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,end_of_stream,11,0.008172362555720654,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,exact_retry_not_success,5,0.003714710252600297,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,exact_retry_success,1,0.0007429420505200594,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,generic_shell_changed_command_different_class,573,0.42570579494799404,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,generic_shell_changed_command_same_class,519,0.38558692421991086,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,same_family_changed_tool_or_arguments,1,0.0007429420505200594,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,switch_to:coordination,3,0.002228826151560178,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,switch_to:edit,91,0.0676077265973254,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,switch_to:multimodal,1,0.0007429420505200594,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,switch_to:plan/goal,11,0.008172362555720654,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,switch_to:read,11,0.008172362555720654,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,switch_to:tool discovery,2,0.0014858841010401188,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,switch_to:wait/control,75,0.05572065378900446,1346
project,ActPlane,ALL,shell,same_prompt_source_stream,next_call,switch_to:write,1,0.0007429420505200594,1346
project,ActPlane,ALL,task,same_prompt_source_stream,next_call,end_of_prompt,5,0.7142857142857143,7
project,ActPlane,ALL,task,same_prompt_source_stream,next_call,end_of_stream,1,0.14285714285714285,7
project,ActPlane,ALL,task,same_prompt_source_stream,next_call,same_raw_tool_changed_arguments,1,0.14285714285714285,7
project,ActPlane,ALL,wait/control,same_prompt_source_stream,next_call,end_of_prompt,4,0.008565310492505354,467
project,ActPlane,ALL,wait/control,same_prompt_source_stream,next_call,exact_retry_not_success,144,0.3083511777301927,467
project,ActPlane,ALL,wait/control,same_prompt_source_stream,next_call,exact_retry_success,28,0.059957173447537475,467
