stratum_type,project,vendor,shell_class,classification,calls,share_of_shell_calls
project_vendor,eunomia.dev,codex,build/check,multi_label_presence,240,0.035221602582917524
project_vendor,eunomia.dev,codex,container/orchestration,multi_label_presence,5,0.0007337833871441151
project_vendor,eunomia.dev,codex,data/analysis/runtime,multi_label_presence,376,0.05518051071323745
project_vendor,eunomia.dev,codex,filesystem/navigation,multi_label_presence,267,0.03918403287349574
project_vendor,eunomia.dev,codex,git/repository,multi_label_presence,1857,0.27252714998532435
project_vendor,eunomia.dev,codex,lint/format,multi_label_presence,70,0.01027296742001761
project_vendor,eunomia.dev,codex,network/remote,multi_label_presence,132,0.01937188142060464
project_vendor,eunomia.dev,codex,other,multi_label_presence,1475,0.21646609920751395
project_vendor,eunomia.dev,codex,package/dependency,multi_label_presence,19,0.002788376871147637
project_vendor,eunomia.dev,codex,process/system,multi_label_presence,236,0.034634575873202234
project_vendor,eunomia.dev,codex,search/text,multi_label_presence,3777,0.5542999706486645
project_vendor,eunomia.dev,codex,test,multi_label_presence,101,0.014822424420311123
