population,corpus_or_project,stratum_or_vendor,metric,value,n,eligible,direction_anchor,ci95_low,ci95_high
public,openswe,openhands/qwen35_122b,unit_top_path_share_median,0.15587044534412955,2,False,0.0,0.15384615384615385,0.15789473684210525
public,openswe,openhands/qwen35_122b,late_path_reread_delta_median,0.625,2,False,0.0,0.25,1.0
public,openswe,sweagent/minimax_m25,top10_unit_call_share,0.6083916083916084,2,False,0.0,0.5,0.6083916083916084
public,openswe,sweagent/minimax_m25,path_locality_excess,0.4146341463414634,82,False,0.0,0.3125,0.48
public,openswe,sweagent/minimax_m25,module_return_call_share,0.27380952380952384,84,False,0.0,0.23529411764705882,0.3333333333333333
public,openswe,sweagent/minimax_m25,path_reuse_share,0.5785714285714286,140,True,0.0,0.5247524752475248,0.717948717948718
public,openswe,sweagent/minimax_m25,repeat_path_read_share,0.35714285714285715,84,False,0.0,0.3,0.36486486486486486
public,openswe,sweagent/minimax_m25,shell_share,0.6783216783216783,143,True,0.5,0.6206896551724138,0.7678571428571429
public,openswe,sweagent/minimax_m25,unit_top_path_share_median,0.19548108657019547,2,False,0.0,0.10891089108910891,0.28205128205128205
public,openswe,sweagent/minimax_m25,late_path_reread_delta_median,,0,False,0.0,,
public,openswe,sweagent/qwen35_122b,top10_unit_call_share,0.5375375375375375,2,False,0.0,0.5,0.5375375375375375
public,openswe,sweagent/qwen35_122b,path_locality_excess,0.2932330827067669,266,True,0.0,0.15151515151515152,0.5247524752475248
public,openswe,sweagent/qwen35_122b,module_return_call_share,0.41044776119402987,268,True,0.0,0.3333333333333333,0.4578313253012048
public,openswe,sweagent/qwen35_122b,path_reuse_share,0.7219047619047619,525,True,0.0,0.6428571428571429,0.7591036414565826
public,openswe,sweagent/qwen35_122b,repeat_path_read_share,0.6757369614512472,441,True,0.0,0.6041666666666666,0.7104377104377104
public,openswe,sweagent/qwen35_122b,shell_share,0.8228228228228228,333,True,0.5,0.8212290502793296,0.8246753246753247
public,openswe,sweagent/qwen35_122b,unit_top_path_share_median,0.11502100840336134,2,False,0.0,0.10119047619047619,0.12885154061624648
public,openswe,sweagent/qwen35_122b,late_path_reread_delta_median,0.36249347173260216,2,False,0.0,0.21147342995169083,0.5135135135135135
