task,dataset,query_family,view,ranker,uses_hidden_fields,operations,positives,sessions,positive_sessions,groups,top5_operation_work,top5_positive_operation_recall,top5_session_work,top5_positive_session_recall,top5_positive_session_f1,budget30_operation_work,budget30_positive_operation_recall,budget30_session_work,budget30_positive_session_recall,budget30_positive_session_f1,budget30_positive_session_lift,budget30_session_efficiency
osworld_group_start,osworld-human,human-boundary,raw_action_stack,query_aware,False,4011,764,320,244,27,0.5218,0.4725,0.7375,0.4713,0.4792,0.2999,0.4149,0.7469,0.5,0.5052,0.6695,0.6695
osworld_group_start,osworld-human,human-boundary,raw_action_stack,oracle_upper_bound,True,4011,764,320,244,27,0.5333,0.7147,0.8812,0.8402,0.7795,0.2962,0.4306,0.8094,0.5041,0.4891,0.6228,0.6228
osworld_group_start,osworld-human,human-boundary,operation_stack,width,False,4011,764,320,244,173,0.5667,0.5903,0.2781,0.3115,0.4565,0.2999,0.4241,0.2781,0.2705,0.3964,0.9726,0.9726
osworld_group_start,osworld-human,human-boundary,operation_stack,visible_risk,False,4011,764,320,244,173,0.265,0.2801,0.1875,0.1967,0.3158,0.2999,0.2971,0.3094,0.2418,0.344,0.7816,0.7816
osworld_group_start,osworld-human,human-boundary,operation_stack,query_aware,False,4011,764,320,244,173,0.4074,0.3874,0.2406,0.2418,0.3676,0.2999,0.2971,0.3406,0.2459,0.3399,0.7219,0.7219
osworld_group_start,osworld-human,human-boundary,operation_stack,oracle_upper_bound,True,4011,764,320,244,173,0.004,0.0209,0.0375,0.0492,0.0938,0.2999,0.5628,0.7281,0.7541,0.7715,1.0357,1.0357
osworld_group_start,osworld-human,human-boundary,label_drilldown,width,True,4011,764,320,244,65,0.5383,0.0,0.8625,0.0,0.0,0.2999,0.0,0.7438,0.0,0.0,0.0,0.0
osworld_group_start,osworld-human,human-boundary,label_drilldown,visible_risk,True,4011,764,320,244,65,0.2633,0.0707,0.5281,0.1066,0.1259,0.2999,0.2199,0.5625,0.2787,0.3208,0.4954,0.4954
osworld_group_start,osworld-human,human-boundary,label_drilldown,query_aware,True,4011,764,320,244,65,0.3827,0.0,0.6875,0.0,0.0,0.2999,0.1427,0.4969,0.1762,0.2134,0.3547,0.3547
osworld_group_start,osworld-human,human-boundary,label_drilldown,oracle_upper_bound,True,4011,764,320,244,65,0.1491,0.7827,0.6625,0.8689,0.9298,0.2999,1.0,0.8094,1.0,0.9702,1.2355,1.2355
